Population,Mobility,Income
576081,0.062198810300000004,31560
227816,0.053651940099999997,29959
66708,0.0726351365,22328
727600,0.05628121269999999,35884
493180,0.044800791900000005,38892
92753,0.0518358536,31265
1055133,0.0473969392,36582
90016,0.0516631268,31544
64676,0.0795698911,30683
354533,0.043111190199999996,33417
413331,0.05152730639999999,33582
1423942,0.043785236799999995,41423
77361,0.056083649400000005,25953
164760,0.0544464625,30726
375363,0.044969670499999996,36024
44861,0.0566615611,37261
54082,0.0606653616,28767
398505,0.0633802786,37445
59681,0.0804810375,33712
71586,0.0297968406,25531
548986,0.0356782004,32610
644101,0.0382470116,29959
361559,0.0418033972,35617
216840,0.0319583789,31549
1412127,0.04998663440000001,40546
62926,0.0336088166,29492
222553,0.0453549512,28925
536909,0.0470072404,29500
1119468,0.0535509437,34929
124216,0.0497884788,32919
158234,0.0490487516,28198
228616,0.067359142,34417
1040192,0.054764673099999994,41886
570854,0.0513657629,36027
139055,0.0327529013,27335
458674,0.0671070293,31028
120505,0.06920705740000001,26974
157181,0.0605108887,28079
41270,0.035489667200000005,24121
39355,0.0247895233,22600
546560,0.0375340469,33322
103602,0.0625297204,25123
46424,0.0642954856,27071
25202,0.1264222562,24857
69653,0.0487460271,27488
84943,0.0311782081,27080
1381652,0.0512128659,34077
271365,0.1134691536,28094
806561,0.0603968948,31579
186516,0.0672128424,28236
335960,0.09711845960000001,29462
548154,0.0950535387,28712
253878,0.055185098200000005,29496
21735,0.057306591399999995,21037
34162,0.060388945,29001
499101,0.0527185053,31565
74800,0.0688279271,24715
23459,0.1516079605,30067
24209,0.041538462000000005,30093
168122,0.0428298265,27099
89373,0.0566330478,30514
630854,0.053561717300000006,36101
40542,0.0539629012,30500
94324,0.0891045406,28365
144931,0.0638953075,22044
116256,0.059086840599999996,25664
49887,0.0684385374,20802
117919,0.1306593716,20987
83451,0.0714285746,26923
123981,0.0627145097,24892
84168,0.0331106596,25756
141711,0.0271325037,25222
146833,0.0221015904,23169
198166,0.047488126900000004,31754
92131,0.0431115292,26597
44884,0.0816599727,31853
197774,0.043573416799999994,30736
129508,0.06576325,28904
54214,0.0546255521,27596
1154338,0.0281827394,37116
138746,0.032014071899999996,25942
