Square Footage,County,Agency Name
144,Fulton,Department of Natural Resources
144,Fulton,Department of Natural Resources
144,Fulton,Department of Natural Resources
144,Fulton,Department of Natural Resources
144,Fulton,Department of Natural Resources
144,Fulton,Department of Natural Resources
120,Pope,Department of Natural Resources
120,Pope,Department of Natural Resources
144,LaSalle,Department of Natural Resources
144,LaSalle,Department of Natural Resources
144,LaSalle,Department of Natural Resources
144,LaSalle,Department of Natural Resources
96,Clinton,Department of Natural Resources
625,Schuyler,Department of Natural Resources
144,Schuyler,Department of Natural Resources
144,Schuyler,Department of Natural Resources
740,Schuyler,Department of Natural Resources
320,Schuyler,Department of Natural Resources
144,Schuyler,Department of Natural Resources
625,Schuyler,Department of Natural Resources
144,Schuyler,Department of Natural Resources
144,Shelby,Department of Natural Resources
2000,Shelby,Department of Natural Resources
2048,Livingston,Department of Corrections
22000,Will,Department of Human Services
120,St. Clair,Department of Corrections
4860,Vermilion,Department of Transportation
156,Effingham,Department of State Police
1080,LaSalle,Department of Military Affairs
2020,Perry,Department of Agriculture
3360,Perry,Department of Agriculture
1800,Perry,Department of Agriculture
25000,Will,Governors State University
11000,Will,Governors State University
10000,Will,Governors State University
1400,Macoupin,Department of Natural Resources
183175,Sangamon,Department of Natural Resources
220,Douglas,Department of Natural Resources
220,Douglas,Department of Natural Resources
220,Douglas,Department of Natural Resources
220,Douglas,Department of Natural Resources
220,Douglas,Department of Natural Resources
220,Douglas,Department of Natural Resources
220,Douglas,Department of Natural Resources
220,Douglas,Department of Natural Resources
144,Shelby,Department of Natural Resources
1625,Vermilion,Department of Natural Resources
144,DeWitt,Department of Natural Resources
144,DeWitt,Department of Natural Resources
144,DeWitt,Department of Natural Resources
144,DeWitt,Department of Natural Resources
144,DeWitt,Department of Natural Resources
144,DeWitt,Department of Natural Resources
144,DeWitt,Department of Natural Resources
144,DeWitt,Department of Natural Resources
144,DeWitt,Department of Natural Resources
540,DeWitt,Department of Natural Resources
14900,Will,Department of Corrections
21100,Lake,Department of Transportation
2160,Montgomery,Department of Transportation
1540,Sangamon,Department of Transportation
900,St. Clair,Department of Transportation
16280,Effingham,Department of Transportation
240,Henry,Department of State Police
504,Winnebago,Department of State Police
82500,Sangamon,Department of Central Management Services
2960,McLean,Illinois State University
2560,McLean,Illinois State University
288,McLean,Illinois State University
10972,McLean,Illinois State University
875,McLean,Illinois State University
153,McLean,Illinois State University
216,Adams,Department of Natural Resources
90,Stark,Department of Natural Resources
0,Stark,Department of Natural Resources
1536,Stark,Department of Natural Resources
0,Stark,Department of Natural Resources
90,Stark,Department of Natural Resources
2304,Stark,Department of Natural Resources
3528,Stark,Department of Natural Resources
90,Stark,Department of Natural Resources
15000,Sangamon,Historic Preservation Agency
1564,Vermilion,Department of Natural Resources
1684,Cass,Department of Natural Resources
3030,St. Clair,Department of Corrections
220,Douglas,Department of Natural Resources
220,Douglas,Department of Natural Resources
220,Douglas,Department of Natural Resources
3260,Ogle,Department of Natural Resources
144,LaSalle,Department of Natural Resources
1903,Clinton,Department of Natural Resources
100000,Sangamon,Historic Preservation Agency
99800,Sangamon,Historic Preservation Agency
45514,Will,Department of Corrections
150,Will,Department of Corrections
144,Henry,Department of Natural Resources
1600,Vermilion,Department of Natural Resources
32351,Will,Department of Corrections
729,Moultrie,Department of Natural Resources
700,Moultrie,Department of Natural Resources
2000,Franklin,Department of Natural Resources
3520,Jasper,Department of Natural Resources
100,Jasper,Department of Natural Resources
600,DeWitt,Department of Natural Resources
540,DeWitt,Department of Natural Resources
144,DeWitt,Department of Natural Resources
90,DeWitt,Department of Natural Resources
320,DeWitt,Department of Natural Resources
960,Vermilion,Department of Natural Resources
12000,Kane,Department of Juvenile Justice
18500,Kane,Department of Juvenile Justice
120,Logan,Department of Corrections
4032,Randolph,Department of Transportation
48000,St. Clair,Southern Illinois University
12800,St. Clair,Southern Illinois University
15000,Cook,Illinois Medical District Commission
1294,Hancock,Department of Natural Resources
144,Grundy,Department of Natural Resources
3604,Randolph,Historic Preservation Agency
2580,Randolph,Historic Preservation Agency
4184,Randolph,Historic Preservation Agency
2875,Randolph,Historic Preservation Agency
558,Randolph,Historic Preservation Agency
660,Hancock,Department of Natural Resources
192,Hancock,Department of Natural Resources
72,Hancock,Department of Natural Resources
24,Hancock,Department of Natural Resources
24,Hancock,Department of Natural Resources
24,Hancock,Department of Natural Resources
24,Hancock,Department of Natural Resources
24,Hancock,Department of Natural Resources
24,Hancock,Department of Natural Resources
24,Hancock,Department of Natural Resources
24,Hancock,Department of Natural Resources
24,Hancock,Department of Natural Resources
24,Hancock,Department of Natural Resources
24,Hancock,Department of Natural Resources
24,Hancock,Department of Natural Resources
375,Grundy,Department of Natural Resources
3500,Will,Department of Natural Resources
3000,Will,Department of Natural Resources
560,Henry,Department of Juvenile Justice
1152,Johnson,Department of Corrections
19700,Cook,Department of Transportation
150000,Cook,Department of Transportation
2068,Jackson,Southern Illinois University
100,Jackson,Southern Illinois University
1768,Jackson,Southern Illinois University
1646,Jackson,Southern Illinois University
22000,,Illinois Medical District Commission
2700,Fulton,Department of Natural Resources
2000,Fulton,Department of Natural Resources
1800,Mason,Department of Natural Resources
267,Jackson,Southern Illinois University
150,McHenry,Department of Natural Resources
144,McHenry,Department of Natural Resources
1440,McHenry,Department of Natural Resources
768,McHenry,Department of Natural Resources
1420,McHenry,Department of Natural Resources
144,McHenry,Department of Natural Resources
144,Shelby,Department of Natural Resources
3265,McHenry,Department of Natural Resources
710,McHenry,Department of Natural Resources
4800,Massac,Department of Natural Resources
700,Massac,Department of Natural Resources
960,Massac,Department of Natural Resources
700,Massac,Department of Natural Resources
700,Massac,Department of Natural Resources
700,Massac,Department of Natural Resources
170,Massac,Department of Natural Resources
3300,Massac,Department of Natural Resources
2700,Massac,Department of Natural Resources
2447,Fulton,Department of Natural Resources
22960,Fulton,Department of Natural Resources
100,Marion,Department of Natural Resources
24910,Vermilion,Department of Military Affairs
375,Coles,Department of Natural Resources
144,Pope,Department of Natural Resources
144,Pope,Department of Natural Resources
3220,Jackson,Department of Natural Resources
10800,Fayette,Department of Corrections
0,Fayette,Department of Corrections
665,Fayette,Department of Corrections
700,Fayette,Department of Corrections
2400,Jersey,Department of Juvenile Justice
4500,Union,Department of Transportation
3024,Union,Department of Transportation
6300,Will,Department of Transportation
120,Effingham,Department of State Police
3500,Clinton,Department of Natural Resources
300,Clinton,Department of Natural Resources
144,Randolph,Department of Natural Resources
144,Randolph,Department of Natural Resources
13300,Effingham,Department of Transportation
720,Perry,Department of Natural Resources
2400,Perry,Department of Natural Resources
36,Perry,Department of Natural Resources
36,Perry,Department of Natural Resources
36,Perry,Department of Natural Resources
36,Perry,Department of Natural Resources
36,Perry,Department of Natural Resources
36,Perry,Department of Natural Resources
616,Perry,Department of Natural Resources
36,Perry,Department of Natural Resources
36,Perry,Department of Natural Resources
36,Perry,Department of Natural Resources
36,Perry,Department of Natural Resources
36,Perry,Department of Natural Resources
36,Perry,Department of Natural Resources
672,Clinton,Department of Natural Resources
2260,Johnson,Department of Natural Resources
1800,Randolph,Department of Natural Resources
1400,Randolph,Department of Natural Resources
96,Randolph,Department of Natural Resources
144,Randolph,Department of Natural Resources
144,Randolph,Department of Natural Resources
144,Randolph,Department of Natural Resources
144,Randolph,Department of Natural Resources
456,Randolph,Department of Natural Resources
2400,Mason,Department of Natural Resources
1400,Mason,Department of Natural Resources
1761,Peoria,Department of Natural Resources
2159,Peoria,Department of Natural Resources
308,Peoria,Department of Natural Resources
9221,Peoria,Department of Natural Resources
296,Peoria,Department of Natural Resources
360,Peoria,Department of Natural Resources
360,Peoria,Department of Natural Resources
666,Peoria,Department of Natural Resources
144,Shelby,Department of Natural Resources
3039,Peoria,Department of Natural Resources
360,Peoria,Department of Natural Resources
360,Peoria,Department of Natural Resources
360,Peoria,Department of Natural Resources
360,Peoria,Department of Natural Resources
360,Peoria,Department of Natural Resources
360,Peoria,Department of Natural Resources
360,Peoria,Department of Natural Resources
360,Peoria,Department of Natural Resources
5000,Peoria,Department of Natural Resources
234,Peoria,Department of Natural Resources
568,Peoria,Department of Natural Resources
777,Peoria,Department of Natural Resources
2418,Peoria,Department of Natural Resources
8916,Peoria,Department of Natural Resources
18070,Peoria,Department of Natural Resources
430,Peoria,Department of Natural Resources
516,Peoria,Department of Natural Resources
