country,year,country,year,country
Afghanistan,1952,Afghanistan,1952,Afghanistan
Albania,1952,Albania,1952,Albania
Algeria,1952,Algeria,1952,Algeria
Andorra,1952,Andorra,1952,Andorra
Angola,1952,Angola,1952,Angola
Antigua and Barbuda,1952,Antigua and Barbuda,1952,Antigua and Barbuda
Argentina,1952,Argentina,1952,Argentina
Armenia,1952,Armenia,1952,Armenia
Australia,1952,Australia,1952,Australia
Austria,1952,Austria,1952,Austria
Azerbaijan,1952,Azerbaijan,1952,Azerbaijan
Bahamas,1952,Bahamas,1952,Bahamas
Bahrain,1952,Bahrain,1952,Bahrain
Bangladesh,1952,Bangladesh,1952,Bangladesh
Barbados,1952,Barbados,1952,Barbados
Belarus,1952,Belarus,1952,Belarus
Belgium,1952,Belgium,1952,Belgium
Belize,1952,Belize,1952,Belize
Benin,1952,Benin,1952,Benin
Bhutan,1952,Bhutan,1952,Bhutan
Bolivia,1952,Bolivia,1952,Bolivia
Bosnia and Herzegovina,1952,Bosnia and Herzegovina,1952,Bosnia and Herzegovina
Botswana,1952,Botswana,1952,Botswana
Brazil,1952,Brazil,1952,Brazil
Brunei,1952,Brunei,1952,Brunei
Bulgaria,1952,Bulgaria,1952,Bulgaria
Burkina Faso,1952,Burkina Faso,1952,Burkina Faso
Burundi,1952,Burundi,1952,Burundi
Cambodia,1952,Cambodia,1952,Cambodia
Cameroon,1952,Cameroon,1952,Cameroon
Canada,1952,Canada,1952,Canada
Cape Verde,1952,Cape Verde,1952,Cape Verde
Central African Republic,1952,Central African Republic,1952,Central African Republic
Chad,1952,Chad,1952,Chad
Chile,1952,Chile,1952,Chile
China,1952,China,1952,China
Colombia,1952,Colombia,1952,Colombia
Comoros,1952,Comoros,1952,Comoros
"Congo, Dem. Rep.",1952,"Congo, Dem. Rep.",1952,"Congo, Dem. Rep."
"Congo, Rep.",1952,"Congo, Rep.",1952,"Congo, Rep."
Costa Rica,1952,Costa Rica,1952,Costa Rica
Cote d'Ivoire,1952,Cote d'Ivoire,1952,Cote d'Ivoire
Croatia,1952,Croatia,1952,Croatia
Cuba,1952,Cuba,1952,Cuba
Cyprus,1952,Cyprus,1952,Cyprus
Czech Republic,1952,Czech Republic,1952,Czech Republic
Denmark,1952,Denmark,1952,Denmark
Djibouti,1952,Djibouti,1952,Djibouti
Dominica,1952,Dominica,1952,Dominica
Dominican Republic,1952,Dominican Republic,1952,Dominican Republic
Ecuador,1952,Ecuador,1952,Ecuador
Egypt,1952,Egypt,1952,Egypt
El Salvador,1952,El Salvador,1952,El Salvador
Equatorial Guinea,1952,Equatorial Guinea,1952,Equatorial Guinea
Eritrea,1952,Eritrea,1952,Eritrea
Estonia,1952,Estonia,1952,Estonia
Ethiopia,1952,Ethiopia,1952,Ethiopia
Fiji,1952,Fiji,1952,Fiji
Finland,1952,Finland,1952,Finland
France,1952,France,1952,France
Gabon,1952,Gabon,1952,Gabon
Gambia,1952,Gambia,1952,Gambia
Georgia,1952,Georgia,1952,Georgia
Germany,1952,Germany,1952,Germany
Ghana,1952,Ghana,1952,Ghana
Greece,1952,Greece,1952,Greece
Grenada,1952,Grenada,1952,Grenada
Guatemala,1952,Guatemala,1952,Guatemala
Guinea,1952,Guinea,1952,Guinea
Guinea-Bissau,1952,Guinea-Bissau,1952,Guinea-Bissau
Guyana,1952,Guyana,1952,Guyana
Haiti,1952,Haiti,1952,Haiti
Honduras,1952,Honduras,1952,Honduras
Hungary,1952,Hungary,1952,Hungary
Iceland,1952,Iceland,1952,Iceland
India,1952,India,1952,India
Indonesia,1952,Indonesia,1952,Indonesia
Iran,1952,Iran,1952,Iran
Iraq,1952,Iraq,1952,Iraq
Ireland,1952,Ireland,1952,Ireland
Israel,1952,Israel,1952,Israel
Italy,1952,Italy,1952,Italy
Jamaica,1952,Jamaica,1952,Jamaica
Japan,1952,Japan,1952,Japan
Jordan,1952,Jordan,1952,Jordan
Kazakhstan,1952,Kazakhstan,1952,Kazakhstan
Kenya,1952,Kenya,1952,Kenya
Kiribati,1952,Kiribati,1952,Kiribati
Kuwait,1952,Kuwait,1952,Kuwait
Kyrgyz Republic,1952,Kyrgyz Republic,1952,Kyrgyz Republic
Lao,1952,Lao,1952,Lao
Latvia,1952,Latvia,1952,Latvia
Lebanon,1952,Lebanon,1952,Lebanon
Lesotho,1952,Lesotho,1952,Lesotho
Liberia,1952,Liberia,1952,Liberia
Libya,1952,Libya,1952,Libya
Lithuania,1952,Lithuania,1952,Lithuania
Luxembourg,1952,Luxembourg,1952,Luxembourg
"Macedonia, FYR",1952,"Macedonia, FYR",1952,"Macedonia, FYR"
Madagascar,1952,Madagascar,1952,Madagascar
Malawi,1952,Malawi,1952,Malawi
Malaysia,1952,Malaysia,1952,Malaysia
Maldives,1952,Maldives,1952,Maldives
Mali,1952,Mali,1952,Mali
Malta,1952,Malta,1952,Malta
Marshall Islands,1952,Marshall Islands,1952,Marshall Islands
Mauritania,1952,Mauritania,1952,Mauritania
Mauritius,1952,Mauritius,1952,Mauritius
Mexico,1952,Mexico,1952,Mexico
"Micronesia, Fed. Sts.",1952,"Micronesia, Fed. Sts.",1952,"Micronesia, Fed. Sts."
Moldova,1952,Moldova,1952,Moldova
Mongolia,1952,Mongolia,1952,Mongolia
Montenegro,1952,Montenegro,1952,Montenegro
Morocco,1952,Morocco,1952,Morocco
Mozambique,1952,Mozambique,1952,Mozambique
Myanmar,1952,Myanmar,1952,Myanmar
Namibia,1952,Namibia,1952,Namibia
Nepal,1952,Nepal,1952,Nepal
Netherlands,1952,Netherlands,1952,Netherlands
New Zealand,1952,New Zealand,1952,New Zealand
Nicaragua,1952,Nicaragua,1952,Nicaragua
Niger,1952,Niger,1952,Niger
Nigeria,1952,Nigeria,1952,Nigeria
North Korea,1952,North Korea,1952,North Korea
Norway,1952,Norway,1952,Norway
Oman,1952,Oman,1952,Oman
Pakistan,1952,Pakistan,1952,Pakistan
Palestine,1952,Palestine,1952,Palestine
Panama,1952,Panama,1952,Panama
Papua New Guinea,1952,Papua New Guinea,1952,Papua New Guinea
Paraguay,1952,Paraguay,1952,Paraguay
Peru,1952,Peru,1952,Peru
Philippines,1952,Philippines,1952,Philippines
Poland,1952,Poland,1952,Poland
Portugal,1952,Portugal,1952,Portugal
Qatar,1952,Qatar,1952,Qatar
Romania,1952,Romania,1952,Romania
Russia,1952,Russia,1952,Russia
Rwanda,1952,Rwanda,1952,Rwanda
Samoa,1952,Samoa,1952,Samoa
Sao Tome and Principe,1952,Sao Tome and Principe,1952,Sao Tome and Principe
Saudi Arabia,1952,Saudi Arabia,1952,Saudi Arabia
Senegal,1952,Senegal,1952,Senegal
Serbia,1952,Serbia,1952,Serbia
Seychelles,1952,Seychelles,1952,Seychelles
Sierra Leone,1952,Sierra Leone,1952,Sierra Leone
Singapore,1952,Singapore,1952,Singapore
Slovak Republic,1952,Slovak Republic,1952,Slovak Republic
Slovenia,1952,Slovenia,1952,Slovenia
Solomon Islands,1952,Solomon Islands,1952,Solomon Islands
Somalia,1952,Somalia,1952,Somalia
South Africa,1952,South Africa,1952,South Africa
South Korea,1952,South Korea,1952,South Korea
South Sudan,1952,South Sudan,1952,South Sudan
Spain,1952,Spain,1952,Spain
Sri Lanka,1952,Sri Lanka,1952,Sri Lanka
St. Lucia,1952,St. Lucia,1952,St. Lucia
St. Vincent and the Grenadines,1952,St. Vincent and the Grenadines,1952,St. Vincent and the Grenadines
Sudan,1952,Sudan,1952,Sudan
Suriname,1952,Suriname,1952,Suriname
Swaziland,1952,Swaziland,1952,Swaziland
Sweden,1952,Sweden,1952,Sweden
Switzerland,1952,Switzerland,1952,Switzerland
Syria,1952,Syria,1952,Syria
Tajikistan,1952,Tajikistan,1952,Tajikistan
Tanzania,1952,Tanzania,1952,Tanzania
Thailand,1952,Thailand,1952,Thailand
Timor-Leste,1952,Timor-Leste,1952,Timor-Leste
Togo,1952,Togo,1952,Togo
Tonga,1952,Tonga,1952,Tonga
Trinidad and Tobago,1952,Trinidad and Tobago,1952,Trinidad and Tobago
Tunisia,1952,Tunisia,1952,Tunisia
Turkey,1952,Turkey,1952,Turkey
Turkmenistan,1952,Turkmenistan,1952,Turkmenistan
Uganda,1952,Uganda,1952,Uganda
Ukraine,1952,Ukraine,1952,Ukraine
United Arab Emirates,1952,United Arab Emirates,1952,United Arab Emirates
United Kingdom,1952,United Kingdom,1952,United Kingdom
United States,1952,United States,1952,United States
Uruguay,1952,Uruguay,1952,Uruguay
Uzbekistan,1952,Uzbekistan,1952,Uzbekistan
Vanuatu,1952,Vanuatu,1952,Vanuatu
Venezuela,1952,Venezuela,1952,Venezuela
Vietnam,1952,Vietnam,1952,Vietnam
Yemen,1952,Yemen,1952,Yemen
