dataset_size,dataset,driver
100M,flights,monetdb
100M,flights,postgresql
100M,flights,sqlite
100M,flights,verdictdb
100M,movies,monetdb
100M,movies,postgresql
100M,movies,sqlite
100M,movies,verdictdb
100M,weather,monetdb
100M,weather,postgresql
100M,weather,sqlite
100M,weather,verdictdb
10M,flights,duckdb
10M,flights,monetdb
10M,flights,postgresql
10M,flights,sqlite
10M,flights,verdictdb
10M,movies,duckdb
10M,movies,monetdb
10M,movies,postgresql
10M,movies,sqlite
10M,movies,verdictdb
10M,weather,duckdb
10M,weather,monetdb
10M,weather,postgresql
10M,weather,sqlite
10M,weather,verdictdb
1M,flights,duckdb
1M,flights,monetdb
1M,flights,postgresql
1M,flights,sqlite
1M,flights,verdictdb
1M,movies,duckdb
1M,movies,monetdb
1M,movies,postgresql
1M,movies,sqlite
1M,movies,verdictdb
1M,weather,duckdb
1M,weather,monetdb
1M,weather,postgresql
1M,weather,sqlite
1M,weather,verdictdb
