Net sales,Gross profit,date,Operating profit ratio,Operating profit,Gross profit ratio
23948.0,8026.0,1981,0.18,4310.0,0.335
66141.0,31487.0,1982,0.343,22702.0,0.476
67715.0,30653.0,1983,0.304,20592.0,0.453
68140.0,26400.0,1984,0.244,16641.0,0.387
81428.0,31875.0,1985,0.254,20701.0,0.392
123036.0,58883.0,1986,0.337,41508.0,0.479
144575.0,66910.0,1987,0.317,45768.0,0.463
203301.0,75775.0,1988,0.238,48412.0,0.373
291200.0,99855.0,1989,0.22,63994.0,0.343
240233.0,94560.0,1990,0.271,65168.0,0.394
471417.0,200784.0,1991,0.293,137914.0,0.426
561843.0,222324.0,1992,0.263,147542.0,0.396
634669.0,247556.0,1993,0.251,159296.0,0.39
485611.0,188239.0,1994,0.214,103711.0,0.388
415679.0,174208.0,1995,0.228,94955.0,0.419
354152.0,154328.0,1996,0.203,71939.0,0.436
418212.0,150203.0,1997,0.156,65088.0,0.359
534646.0,237678.0,1998,0.239,127753.0,0.445
572840.0,261745.0,1999,0.273,156162.0,0.457
530665.0,240740.0,2000,0.273,145030.0,0.454
462502.0,184040.0,2001,0.183,84697.0,0.398
554886.0,220266.0,2002,0.215,119151.0,0.397
504135.0,195609.0,2003,0.199,100120.0,0.388
514805.0,207572.0,2004,0.209,107683.0,0.403
515292.0,217176.0,2005,0.21600000000000005,111522.0,0.421
509249.0,215115.0,2006,0.177,90349.0,0.422
966534.0,397812.0,2007,0.234,226024.0,0.412
1672423.0,700060.0,2008,0.29100000000000004,487220.0,0.419
1838622.0,793641.0,2009,0.302,555263.0,0.4320000000000001
1434365.0,575234.0,2010,0.249,356567.0,0.401
1014345.0,387965.0,2011,0.16899999999999998,171076.0,0.382
647652.0,153654.0,2012,-0.058,-37320.0,0.237
635422.0,140354.0,2013,-0.057,-36410.0,0.221
571726.0,163219.0,2014,-0.081,-46425.0,0.285
549780.0,214584.0,2015,0.045,24770.0,0.39
504459.0,220965.0,2016,0.065,32881.0,0.438
489095.0,198898.0,2017,0.06,29362.0,0.407
1055682.0,403540.0,2018,0.168,177557.0,0.382
1200560.0,501189.0,2019,0.208,249701.0,0.417
1308519.0,641701.0,2020,0.269,352370.0,0.49
1758910.0,970472.0,2021,0.364,640634.0,0.552
1695344.0,946044.0,2022,0.35,592760.0,0.5579999999999999
