Value,Year,LOCATION
47.57803918,1970,GBR
45.52742185,1971,GBR
45.67779473,1972,GBR
46.37872641,1973,GBR
44.42223433,1974,GBR
39.85541472,1975,GBR
36.55030194,1976,GBR
35.78836762,1977,GBR
37.47486876,1978,GBR
38.29523952,1979,GBR
36.68858597,1980,GBR
35.4268123,1981,GBR
35.65961949,1982,GBR
34.56728192,1983,GBR
35.08152659,1984,GBR
35.12011437,1985,GBR
34.93850632,1986,GBR
34.51295439,1987,GBR
34.04572949,1988,GBR
33.73065917,1989,GBR
32.74495595,1990,GBR
31.07547805,1991,GBR
29.9466794,1992,GBR
28.71901926,1993,GBR
28.079718540000002,1994,GBR
28.19283491,1995,GBR
27.21841089,1996,GBR
26.91907015,1997,GBR
27.03529422,1998,GBR
26.08972842,1999,GBR
26.28031383,2000,GBR
25.6396459,2001,GBR
24.37909944,2002,GBR
24.12446709,2003,GBR
23.35874097,2004,GBR
22.0639582,2005,GBR
21.71808402,2006,GBR
21.63478071,2007,GBR
21.85786911,2008,GBR
20.68629595,2009,GBR
19.23143692,2010,GBR
18.2460052,2011,GBR
17.78388278,2012,GBR
17.48201439,2013,GBR
17.38274257,2014,GBR
17.10155148,2015,GBR
16.7965368,2016,GBR
16.53410053,2017,GBR
16.3104242,2018,GBR
16.09980928,2019,GBR
11.98380567,2020,GBR
14.34929405,2021,GBR
38.1104034,1973,USA
39.10068426,1974,USA
37.63003166,1975,USA
37.7559727,1976,USA
38.22485207,1977,USA
38.97247706,1978,USA
37.64195057,1979,USA
36.55215104,1980,USA
35.17400058,1981,USA
34.72409152,1982,USA
34.28645028,1983,USA
33.43217198,1984,USA
32.9782197,1985,USA
32.19021491,1986,USA
31.02222222,1987,USA
30.06917423,1988,USA
29.36357908,1989,USA
28.45544956,1990,USA
26.57109191,1991,USA
25.05773672,1992,USA
23.87640449,1993,USA
23.88451444,1994,USA
24.57998539,1995,USA
23.82394868,1996,USA
23.78649162,1997,USA
23.7458194,1998,USA
23.46278317,1999,USA
23.08892356,2000,USA
23.58208955,2001,USA
22.09131075,2002,USA
20.57553957,2003,USA
19.63534362,2004,USA
18.97506925,2005,USA
19.24629879,2006,USA
19.84334204,2007,USA
20.05012531,2008,USA
19.78021978,2009,USA
18.81067961,2010,USA
17.78846154,2011,USA
19.08665105,2012,USA
17.90697674,2013,USA
17.45120551,2014,USA
18.88268156,2015,USA
18.1420765,2016,USA
18.17215728,2017,USA
18.91058582,2018,USA
18.47070507,2019,USA
17.65249538,2020,USA
16.86417502,2021,USA
