issueAmount,giltType
6821,Index Linked
4841,Index Linked
20256,Treasury Stock
40331,Treasury Stock
37339,Treasury Stock
9084,Index Linked
31682,Treasury Stock
26827,Treasury Stock
10169,Index Linked
27671,Treasury Gilt
33003,Treasury Gilt
14170,Index Linked
25124,Treasury Gilt
13066,Index Linked
42819,Treasury Gilt
28354,Treasury Gilt
11687,Index Linked
15743,Index Linked
14657,Index Linked
21047,Treasury Gilt
12221,Index Linked
12559,Index Linked
36261,Treasury Gilt
25132,Treasury Gilt
24235,Treasury Gilt
26449,Treasury Gilt
14090,Index Linked
12480,Index Linked
15459,Index Linked
14570,Index Linked
25114,Treasury Gilt
12366,Index Linked
29109,Treasury Gilt
15726,Index Linked
15244,Index Linked
12600,Index Linked
35922,Treasury Gilt
20743,Treasury Gilt
35806,Treasury Gilt
10953,Index Linked
29404,Treasury Gilt
13486,Index Linked
20575,Treasury Gilt
13455,Index Linked
39934,Treasury Gilt
13905,Index Linked
7147,Index Linked
43651,Treasury Gilt
31968,Treasury Gilt
8125,Index Linked
25721,Treasury Gilt
30741,Treasury Gilt
40987,Treasury Gilt
11781,Index Linked
34359,Treasury Gilt
12447,Index Linked
35638,Treasury Gilt
24158,Treasury Gilt
30224,Treasury Gilt
37855,Treasury Gilt
17937,Index Linked
24581,Treasury Gilt
43620,Treasury Gilt
44623,Treasury Gilt
38904,Treasury Gilt
33817,Treasury Gilt
40636,Treasury Gilt
34817,Treasury Gilt
35316,Treasury Gilt
31032,Treasury Gilt
33824,Treasury Gilt
31916,Treasury Gilt
23386,Treasury Gilt
35551,Treasury Gilt
9563,Index Linked
29353,Treasury Gilt
10854,Green Gilt
26049,Treasury Gilt
17544,Treasury Gilt
32890,Treasury Gilt
6639,Index Linked
28957,Treasury Gilt
2900,Index Linked
20733,Treasury Gilt
6303,Index Linked
12742,Green Gilt
14816,Treasury Gilt
10107,Treasury Gilt
4445,Treasury Gilt
