Value,Date,series
0.32,2003-12-15,Food
0.08,2003-12-15,AlcoholTobacco
-0.22,2003-12-15,ClothingFootwear
0.23,2003-12-15,HousingHouseService
-0.04,2003-12-15,FurnitureHousehold
0.07,2003-12-15,Health
0.43,2003-12-15,Transport
-0.01,2003-12-15,Communication
-0.35,2003-12-15,RecreationCulture
0.09,2003-12-15,Education
0.4,2003-12-15,RestaurantsHotels
0.26,2003-12-15,Misc
0.28,2003-11-15,Food
0.08,2003-11-15,AlcoholTobacco
-0.26,2003-11-15,ClothingFootwear
0.23,2003-11-15,HousingHouseService
-0.02,2003-11-15,FurnitureHousehold
0.08,2003-11-15,Health
0.53,2003-11-15,Transport
-0.01,2003-11-15,Communication
-0.36,2003-11-15,RecreationCulture
0.09,2003-11-15,Education
0.4,2003-11-15,RestaurantsHotels
0.28,2003-11-15,Misc
0.14,2004-04-15,Food
0.09,2004-04-15,AlcoholTobacco
-0.29,2004-04-15,ClothingFootwear
0.35,2004-04-15,HousingHouseService
0.02,2004-04-15,FurnitureHousehold
0.05,2004-04-15,Health
0.2,2004-04-15,Transport
0.02,2004-04-15,Communication
-0.35,2004-04-15,RecreationCulture
0.09,2004-04-15,Education
0.41,2004-04-15,RestaurantsHotels
0.39,2004-04-15,Misc
-0.02,2004-08-15,Food
0.09,2004-08-15,AlcoholTobacco
-0.36,2004-08-15,ClothingFootwear
0.38,2004-08-15,HousingHouseService
-0.04,2004-08-15,FurnitureHousehold
0.03,2004-08-15,Health
0.59,2004-08-15,Transport
-0.03,2004-08-15,Communication
-0.15,2004-08-15,RecreationCulture
0.09,2004-08-15,Education
0.39,2004-08-15,RestaurantsHotels
0.32,2004-08-15,Misc
-0.01,2004-12-15,Food
0.1,2004-12-15,AlcoholTobacco
-0.34,2004-12-15,ClothingFootwear
0.55,2004-12-15,HousingHouseService
0.06,2004-12-15,FurnitureHousehold
0.04,2004-12-15,Health
0.61,2004-12-15,Transport
-0.06,2004-12-15,Communication
-0.09,2004-12-15,RecreationCulture
0.08,2004-12-15,Education
0.4,2004-12-15,RestaurantsHotels
0.34,2004-12-15,Misc
0.24,2004-02-15,Food
0.08,2004-02-15,AlcoholTobacco
-0.25,2004-02-15,ClothingFootwear
0.24,2004-02-15,HousingHouseService
0.01,2004-02-15,FurnitureHousehold
0.05,2004-02-15,Health
0.44,2004-02-15,Transport
0.01,2004-02-15,Communication
-0.45,2004-02-15,RecreationCulture
0.09,2004-02-15,Education
0.39,2004-02-15,RestaurantsHotels
0.44,2004-02-15,Misc
0.29,2004-01-15,Food
0.08,2004-01-15,AlcoholTobacco
-0.16,2004-01-15,ClothingFootwear
0.24,2004-01-15,HousingHouseService
-0.03,2004-01-15,FurnitureHousehold
0.06,2004-01-15,Health
0.44,2004-01-15,Transport
-0.01,2004-01-15,Communication
-0.4,2004-01-15,RecreationCulture
0.09,2004-01-15,Education
0.4,2004-01-15,RestaurantsHotels
0.43,2004-01-15,Misc
0.02,2004-07-15,Food
0.1,2004-07-15,AlcoholTobacco
-0.31,2004-07-15,ClothingFootwear
0.37,2004-07-15,HousingHouseService
-0.07,2004-07-15,FurnitureHousehold
0.03,2004-07-15,Health
0.59,2004-07-15,Transport
-0.03,2004-07-15,Communication
-0.13,2004-07-15,RecreationCulture
0.09,2004-07-15,Education
0.39,2004-07-15,RestaurantsHotels
0.33,2004-07-15,Misc
0.09,2004-06-15,Food
0.09,2004-06-15,AlcoholTobacco
-0.3,2004-06-15,ClothingFootwear
0.38,2004-06-15,HousingHouseService
0.02,2004-06-15,FurnitureHousehold
0.05,2004-06-15,Health
0.57,2004-06-15,Transport
0.02,2004-06-15,Communication
-0.18,2004-06-15,RecreationCulture
0.09,2004-06-15,Education
0.4,2004-06-15,RestaurantsHotels
0.36,2004-06-15,Misc
0.21,2004-03-15,Food
0.09,2004-03-15,AlcoholTobacco
-0.29,2004-03-15,ClothingFootwear
0.27,2004-03-15,HousingHouseService
-0.05,2004-03-15,FurnitureHousehold
0.05,2004-03-15,Health
0.31,2004-03-15,Transport
0.01,2004-03-15,Communication
-0.41,2004-03-15,RecreationCulture
0.09,2004-03-15,Education
0.41,2004-03-15,RestaurantsHotels
0.43,2004-03-15,Misc
0.11,2004-05-15,Food
0.09,2004-05-15,AlcoholTobacco
-0.29,2004-05-15,ClothingFootwear
0.38,2004-05-15,HousingHouseService
-0.01,2004-05-15,FurnitureHousehold
0.05,2004-05-15,Health
0.55,2004-05-15,Transport
0.02,2004-05-15,Communication
-0.31,2004-05-15,RecreationCulture
0.09,2004-05-15,Education
0.41,2004-05-15,RestaurantsHotels
0.39,2004-05-15,Misc
-0.05,2004-11-15,Food
0.1,2004-11-15,AlcoholTobacco
-0.33,2004-11-15,ClothingFootwear
0.51,2004-11-15,HousingHouseService
-0.03,2004-11-15,FurnitureHousehold
0.03,2004-11-15,Health
0.6,2004-11-15,Transport
-0.05,2004-11-15,Communication
-0.14,2004-11-15,RecreationCulture
0.08,2004-11-15,Education
0.4,2004-11-15,RestaurantsHotels
0.34,2004-11-15,Misc
-0.07,2004-10-15,Food
0.09,2004-10-15,AlcoholTobacco
-0.34,2004-10-15,ClothingFootwear
0.45,2004-10-15,HousingHouseService
-0.04,2004-10-15,FurnitureHousehold
0.03,2004-10-15,Health
0.5,2004-10-15,Transport
-0.06,2004-10-15,Communication
-0.15,2004-10-15,RecreationCulture
