p,name1,item_id,down_sh,up_sh,item_desc
1.1,Food and drink,210102,0.51754385,0.03508772,LARGE LOAF-WHITE-UNSLICED-800G
0.80000001,Food and drink,210106,0.48299319,0.10204082,SIX BREAD ROLLS-WHITE/BROWN
1.1,Food and drink,210111,0.4295302,0.25503355,WHITE SLICED LOAF BRANDED 750G
0.99000001,Food and drink,210113,0.32432431,0.37162161,WHOLEMEAL SLICED LOAF BRANDED
0.89999998,Food and drink,210114,0.10330579,0.27272728,CHILLED GARLIC BREAD
0.60000002,Food and drink,210201,0.020547945,0.5,FLOUR-SELF-RAISING-1.5KG
0.60000002,Food and drink,210204,0.30578512,0.18595041,DRY SPAGHETTI OR PASTA 500G
0.85000002,Food and drink,210211,0.16535433,0.38582677,CORN SNACK SINGLE PACK MAX 50G
1.6,Food and drink,210212,0.36486486,0.1554054,BASMATI RICE 500G-1KG
2.8,Food and drink,210213,0.4214876,0.17355372,BREAKFAST CEREAL 1
1.9,Food and drink,210214,0.38842976,0.17355372,BREAKFAST CEREAL 2
0.25,Food and drink,210215,0.11344538,0.3067227,CEREAL BAR
1.99,Food and drink,210216,0.36000001,0.12444445,HOT OAT CEREAL
0.99000001,Food and drink,210217,0.16666667,0.14166667,RICE MICRO POUCH/TRAY 220-280G
0.30000001,Food and drink,210218,0.13145539,0.25821596,"POPCORN, BAG, 10-30G"
1.95,,210219,0.42523363,0.079439253,BREAKFAST CEREAL GLUTEN FREE
1.0,Food and drink,210301,0.18120806,0.26845637,CREAM CRACKERS PACK 200G-300G
1.0,Food and drink,210302,0.60000002,0.093333334,PLAIN BISCUITS-200-300G
0.22499999,Food and drink,210319,0.43283582,0.20149253,DOUGHNUT-EACH
1.6900001,Food and drink,210320,0.25850341,0.30612245,WHOLE SPONGE CAKE NOT FROZEN
1.6,Food and drink,210321,0.48951048,0.24475524,PACK OF 5-6 INDIVIDUAL CAKES
1.35,Food and drink,210323,0.13114753,0.27459016,BISCUITS HALF CHOC 260-400G
0.89999998,,210324,0.12831858,0.41592920000000005,CRUMPETS PACK 6-9 SPEC NUMBER
6.4899998,Food and drink,210403,0.27137548,0.33828998,HOME KILLED BEEF-LEAN MINCE KG
15.505,Food and drink,210406,0.39849624,0.12030075,HOME KLD BEEF-RUMP/POPES STEAK
2.49,Food and drink,210414,0.18881118,0.21678321,FROZEN BEEFBURGERS PACK OF 4
11.0,,210416,0.30894309,0.22357723,BEEF ROASTING JOINT PER KG
13.86,Food and drink,210506,0.47765362,0.13128492,HK LAMB LOIN CHOP/STEAK PER KG
6.4749999,Food and drink,210703,0.27500001,0.095833331,HOME KILLED PORK-LOIN CHOPS KG
7.0,Food and drink,210802,0.26436782,0.20306513,BACON-GAMMON-PER KG
7.3000002,Food and drink,210808,0.25454545,0.33454546,BACON-BACK-PER KG
2.79,Food and drink,210905,0.49003986,0.16733068,FRESH/CHILLED CHICKEN  PER KG
6.3499999,Food and drink,210910,0.31086141,0.25093633,FRESH BONELESS CHICKEN BREAST
5.0,Food and drink,210913,0.81818181,0.0,ROTISSERIE CHICKEN [WHOLE]
6.8000002,,210914,0.5,0.055555556,FRESH TURKEY DICED/MIN PER KG
2.45,Food and drink,211007,0.26056337,0.17605634,CANNED MEAT-STEWED STEAK
1.35,Food and drink,211011,0.27756655,0.18631178,INDIVIDUAL MEAT PIE
5.5,Food and drink,211014,0.32608697,0.20652173,SAUSAGES-PORK-PER KG
1.5,Food and drink,211019,0.11724138,0.20689656,FROZ CHICKEN NUGGETS 220-600G
2.0,Food and drink,211023,0.12,0.37142858,COOKED HAM PREPACKED SLICED
2.0999999,Food and drink,211024,0.125,0.14285715,CONTINENTAL SLICED DELI MEAT
5.0,Food and drink,211025,0.10691824,0.31446540000000006,JOINT OV/READ GAM/POR 450-900G
2.0,Food and drink,211026,0.375,0.19396552,CHICKEN KIEV 2 PACK 240-325G
2.5,Food and drink,211027,0.50684929,0.10958904,H K LIVER PER KG STATE TYPE
1.75,Food and drink,211029,0.32183909,0.22413793,COOKED MEAT TURKEY/CHICK SLICE
1.75,Food and drink,211030,0.2614108,0.12033195,MEAT BASED SNACK PACK MAX 400G
1.55,Food and drink,211031,0.1884058,0.36956522,COOKED HAM LOOSE PER 100G
15.0,Food and drink,211101,0.4217687,0.081632651,FRESH WHITE FISH FILLETS KG
14.805,Food and drink,211105,0.11643836,0.58219177,FRESH FISH-SALMON FILLETS-KG
15.28,Food and drink,211106,0.12716763,0.3468208,FROZEN PRAWNS PER KG
0.89999998,Food and drink,211207,0.39705881,0.18382353,"CANNED FISH, TUNA, 130G-200G"
2.5,Food and drink,211210,0.30864197,0.29218107,FROZEN FISH FINGERS 8-12 PK
3.5999999,Food and drink,211211,0.24793388,0.26033059,FROZEN BREAD/BAT FISH 400-550G
3.25,Food and drink,211305,0.42738590000000004,0.19087137,SPREADABLE BUTTER
1.7,Food and drink,211306,0.09917355300000001,0.3429752,BUTTER 250G SPEC COO
1.75,Food and drink,211407,0.73648649,0.12162162,MARGARINE/LOW FAT SPREAD-500G
