Date,Price,Volume
"Aug 18, 2021","3,049.16",1120.00
"Aug 17, 2021","3,014.58",1060.00
"Aug 16, 2021","3,147.65",859.09
"Aug 15, 2021","3,308.87",782.81
"Aug 14, 2021","3,264.69",658.60
"Aug 13, 2021","3,322.43",795.54
"Aug 12, 2021","3,043.61",965.63
"Aug 11, 2021","3,163.66",950.12
"Aug 10, 2021","3,140.71",1120.00
"Aug 09, 2021","3,162.93",1440.00
"Aug 08, 2021","3,012.07",1250.00
"Aug 07, 2021","3,158.00",64.84
"Aug 06, 2021","2,889.43",1060.00
"Aug 05, 2021","2,827.21",1650.00
"Aug 04, 2021","2,725.29",1230.00
"Aug 03, 2021","2,506.65",158.45
"Aug 02, 2021","2,608.04",970.67
"Aug 01, 2021","2,556.23",1200.00
"Jul 31, 2021","2,532.19",507.08
"Jul 30, 2021","2,460.95",1030.00
"Jul 29, 2021","2,380.93",642.75
"Jul 28, 2021","2,299.11",968.94
"Jul 27, 2021","2,300.22",1250.00
"Jul 26, 2021","2,229.53",1890.00
"Jul 25, 2021","2,189.79",786.94
"Jul 24, 2021","2,151.85",907.11
"Jul 23, 2021","2,123.61",961.67
"Jul 22, 2021","2,024.58",1020.00
"Jul 21, 2021","1,994.49",1510.00
"Jul 20, 2021","1,786.07",1200.00
"Jul 19, 2021","1,818.07",802.78
"Jul 18, 2021","1,892.42",829.77
"Jul 17, 2021","1,897.98",623.52
"Jul 16, 2021","1,878.20",619.62
"Jul 15, 2021","1,917.21",645.06
"Jul 14, 2021","1,994.64",1050.00
"Jul 13, 2021","1,940.72",717.85
"Jul 12, 2021","2,035.09",540.10
"Jul 11, 2021","2,139.35",724.84
"Jul 10, 2021","2,111.12",929.32
"Jul 09, 2021","2,145.89",1420.00
"Jul 08, 2021","2,120.22",1820.00
"Jul 07, 2021","2,316.57",1320.00
"Jul 06, 2021","2,322.72",1780.00
"Jul 05, 2021","2,196.16",822.95
"Jul 04, 2021","2,323.22",1390.00
"Jul 03, 2021","2,224.70",1280.00
"Jul 02, 2021","2,154.78",1390.00
"Jul 01, 2021","2,109.11",1710.00
"Jun 30, 2021","2,273.84",1900.00
"Jun 29, 2021","2,158.71",898.06
"Jun 28, 2021","2,083.09",2190.00
"Jun 27, 2021","1,979.88",1870.00
"Jun 26, 2021","1,830.62",1990.00
"Jun 25, 2021","1,810.57",1650.00
"Jun 24, 2021","1,989.14",1640.00
"Jun 23, 2021","1,968.39",1770.00
"Jun 22, 2021","1,876.66",2840.00
"Jun 21, 2021","1,891.18",2690.00
"Jun 20, 2021","2,243.86",1420.00
"Jun 19, 2021","2,166.91",1080.00
"Jun 18, 2021","2,229.53",778.79
"Jun 17, 2021","2,371.62",1060.00
"Jun 16, 2021","2,367.28",1370.00
"Jun 15, 2021","2,543.83",1950.00
"Jun 14, 2021","2,581.48",1790.00
"Jun 13, 2021","2,508.27",1620.00
"Jun 12, 2021","2,368.47",1800.00
"Jun 11, 2021","2,351.45",587.18
"Jun 10, 2021","2,469.97",1290.00
"Jun 09, 2021","2,606.23",2320.00
"Jun 08, 2021","2,510.65",75.18
"Jun 07, 2021","2,592.63",3010.00
"Jun 06, 2021","2,713.66",756.36
"Jun 05, 2021","2,628.98",2550.00
"Jun 04, 2021","2,686.50",2470.00
"Jun 03, 2021","2,853.35",1090.00
"Jun 02, 2021","2,706.10",2600.00
"Jun 01, 2021","2,633.67",2450.00
"May 31, 2021","2,708.47",2830.00
"May 30, 2021","2,386.10",2800.00
"May 29, 2021","2,276.07",2940.00
"May 28, 2021","2,414.29",3260.00
"May 27, 2021","2,735.88",2390.00
"May 26, 2021","2,884.66",2660.00
"May 25, 2021","2,705.09",3280.00
"May 24, 2021","2,646.79",3240.00
"May 23, 2021","2,101.34",3520.00
"May 22, 2021","2,291.60",2820.00
"May 21, 2021","2,433.11",4230.00
"May 20, 2021","2,777.55",4330.00
"May 19, 2021","2,435.69",6420.00
"May 18, 2021","3,377.55",2300.00
