country,Latitude,brand,location2,number,Longitude
Vietnam,11.3049005,Nike,Dong Nai,24300,107.06052779999999
Vietnam,10.641162,Nike,Long An,22400,106.48560060000001
Vietnam,10.198068199999998,Adidas,Vinh Long,22300,105.94648740000001
Vietnam,10.849409399999999,Nike,Ho Chi Minh City,21600,106.7537055
Indonesia,-6.1169309,Nike,Banten prov.,19200,106.1538519
Indonesia,-6.1169309,Adidas,Banten prov.,15600,106.1538519
Vietnam,10.957412800000002,Nike,Dong Nai,18600,106.8426871
Vietnam,10.9513704,Nike,Dong Nai,17100,107.0126076
Indonesia,-6.927736099999999,Nike,Jawa Barat,15800,106.92995790000002
Indonesia,-6.170179599999999,Nike,Banten,15300,106.6403236
Indonesia,-6.562288800000001,Nike,Jawa Barat,15300,107.76079509999998
Vietnam,11.150636800000001,Nike,Thai Ningh,14500,106.08753259999999
Vietnam,10.6968843,Adidas,Dong Nai,14200,106.8907696
Vietnam,14.058323999999999,Nike,Thanh Hoa,13900,108.277199
Vietnam,10.9652026,Nike,Dong Ni,13700,107.4321959
Indonesia,-6.3015658,Nike,Jawa Barat,13600,107.2966525
Vietnam,10.849409399999999,Nike,Ho Chi Minh City,13600,106.7537055
China,23.020669899999998,Adidas,Guangdong,12800,113.75178999999999
Indonesia,-6.170179599999999,Nike,Banten,12800,106.6403236
China,23.682009899999997,Nike,Guangdong,11900,113.05615
Vietnam,11.3254024,Adidas,,10700,106.47701699999999
Indonesia,-6.917463900000001,Nike,Jawa Barat,10300,107.61912279999999
Indonesia,-6.1169309,Adidas,Banten,10300,106.1538519
Indonesia,-6.927736099999999,Adidas,Jawa Barat,10100,106.92995790000002
Vietnam,10.8230989,Adidas,Ho Chi Minh City,10100,106.6296638
