ValueC,State,Type1
0.057283144,Alabama,Lawful Permanent Residents
0.989964636,Alabama,Nonimmigrants
0.032024591,Alabama,Naturalizations
0.0,Alabama,Refugees
0.0004960440000000001,Alabama,Asylees
0.103866254,Alaska,Lawful Permanent Residents
6.603218625,Alaska,Nonimmigrants
0.12147301699999999,Alaska,Naturalizations
0.001637838,Alaska,Refugees
0.0,Alaska,Asylees
0.198809398,Arizona,Lawful Permanent Residents
6.681444291,Arizona,Nonimmigrants
0.240671241,Arizona,Naturalizations
0.005799638,Arizona,Refugees
0.002075226,Arizona,Asylees
0.08546243099999999,Arkansas,Lawful Permanent Residents
0.9765057629999999,Arkansas,Nonimmigrants
0.068541795,Arkansas,Naturalizations
0.001354973,Arkansas,Refugees
0.00039657699999999995,Arkansas,Asylees
0.344516961,California,Lawful Permanent Residents
4.739484104,California,Nonimmigrants
0.43800325799999995,California,Naturalizations
0.0025128810000000002,California,Refugees
0.013244869,California,Asylees
0.174567783,Colorado,Lawful Permanent Residents
2.87457014,Colorado,Nonimmigrants
0.151735982,Colorado,Naturalizations
0.004559478,Colorado,Refugees
0.002322753,Colorado,Asylees
0.23979385399999997,Connecticut,Lawful Permanent Residents
1.98003271,Connecticut,Nonimmigrants
0.324634173,Connecticut,Naturalizations
0.001636345,Connecticut,Refugees
0.0051863809999999995,Connecticut,Asylees
0.182382817,Delaware,Lawful Permanent Residents
1.341261172,Delaware,Nonimmigrants
0.180190236,Delaware,Naturalizations
0.001195953,Delaware,Refugees
0.004385160999999999,Delaware,Asylees
0.285799567,District of Columbia,Lawful Permanent Residents
12.28012835,District of Columbia,Nonimmigrants
0.271920006,District of Columbia,Naturalizations
0.0,District of Columbia,Refugees
0.018506082,District of Columbia,Asylees
0.382106014,Florida,Lawful Permanent Residents
14.49650817,Florida,Nonimmigrants
0.501512135,Florida,Naturalizations
0.001019231,Florida,Refugees
0.003911643,Florida,Asylees
0.185498195,Georgia,Lawful Permanent Residents
2.542787368,Georgia,Nonimmigrants
0.152561686,Georgia,Naturalizations
0.003407544,Georgia,Refugees
0.00125931,Georgia,Asylees
0.170094336,Hawaii,Lawful Permanent Residents
3.45932477,Hawaii,Nonimmigrants
0.263673968,Hawaii,Naturalizations
0.0,Hawaii,Refugees
0.001734241,Hawaii,Asylees
0.090166724,Idaho,Lawful Permanent Residents
1.125611085,Idaho,Nonimmigrants
0.080855458,Idaho,Naturalizations
0.01415102,Idaho,Refugees
0.001209939,Idaho,Asylees
0.206984683,Illinois,Lawful Permanent Residents
2.697935022,Illinois,Nonimmigrants
0.17901634,Illinois,Naturalizations
