Exports of goods and services (current US$billion),Exports of goods and services (current US$billion)
5.59,5.59
,
4.86,4.86
267.0,267.0
25.5,25.5
49.2,49.2
512.0,512.0
10.1,10.1
50.6,50.6
34.9,34.9
205.0,205.0
237.0,237.0
29.2,29.2
116.0,116.0
880.0,880.0
2000.0,2000.0
87.9,87.9
148.0,148.0
9.71,9.71
672.0,672.0
687.0,687.0
24.9,24.9
,
52.7,52.7
184.0,184.0
25.5,25.5
4.19,4.19
,
2.5,2.5
851.0,851.0
9.15,9.15
201.0,201.0
411.0,411.0
105.0,105.0
116.0,116.0
548.0,548.0
,
34.3,34.3
108.0,108.0
51.4,51.4
498.0,498.0
290.0,290.0
569.0,569.0
81.5,81.5
860.0,860.0
22.5,22.5
8.06,8.06
143.0,143.0
,
289.0,289.0
,
