Gross savings (% of GDP),Year,Country Name
21.10273085,1970,Canada
21.15135782,1971,Canada
21.20652594,1972,Canada
23.30275259,1973,Canada
24.20514589,1974,Canada
21.18136154,1975,Canada
21.93687931,1976,Canada
20.687403,1977,Canada
20.39247923,1978,Canada
22.15099231,1979,Canada
22.26766568,1980,Canada
22.56787418,1981,Canada
19.97246332,1982,Canada
20.1300743,1983,Canada
20.99126374,1984,Canada
20.61466726,1985,Canada
19.04586143,1986,Canada
20.25177182,1987,Canada
21.0446828,1988,Canada
20.21532395,1989,Canada
17.82406242,1990,Canada
15.19677807,1991,Canada
14.10436831,1992,Canada
14.93238077,1993,Canada
17.0360145,1994,Canada
19.01012577,1995,Canada
19.52540072,1996,Canada
20.19673402,1997,Canada
19.77421428,1998,Canada
21.09588678,1999,Canada
23.77462807,2000,Canada
22.63548905,2001,Canada
21.7247372,2002,Canada
21.94377715,2003,Canada
23.66050407,2004,Canada
24.45175414,2005,Canada
24.61727708,2006,Canada
24.40431956,2007,Canada
24.24740931,2008,Canada
18.52001347,2009,Canada
19.3125301,2010,Canada
20.85710941,2011,Canada
20.91795123,2012,Canada
21.5972984,2013,Canada
22.14849389,2014,Canada
19.56936363,2015,Canada
19.14645457,2016,Canada
19.84528099,2017,Canada
19.64367359,2018,Canada
20.01542161,2019,Canada
18.883410519999998,2020,Canada
22.93142738,2021,Canada
34.68385717,1971,Saudi Arabia
36.49825035,1972,Saudi Arabia
34.90497959,1973,Saudi Arabia
67.27726626,1974,Saudi Arabia
56.77732787,1975,Saudi Arabia
60.33235937,1976,Saudi Arabia
48.27789896,1977,Saudi Arabia
34.27582237,1978,Saudi Arabia
37.84670288,1979,Saudi Arabia
50.41309415,1980,Saudi Arabia
45.87320228,1981,Saudi Arabia
32.90690151,1982,Saudi Arabia
23.87115332,1983,Saudi Arabia
19.6712641,1984,Saudi Arabia
17.01319977,1985,Saudi Arabia
13.62286797,1986,Saudi Arabia
13.35777052,1987,Saudi Arabia
16.64880074,1988,Saudi Arabia
13.73645593,1989,Saudi Arabia
15.1923008,1990,Saudi Arabia
8.585122247,1991,Saudi Arabia
16.71914918,1992,Saudi Arabia
15.50817895,1993,Saudi Arabia
15.39678877,1994,Saudi Arabia
19.8025423,1995,Saudi Arabia
22.15460441,1996,Saudi Arabia
22.7627294,1997,Saudi Arabia
16.76813347,1998,Saudi Arabia
25.62125003,1999,Saudi Arabia
30.25821128,2000,Saudi Arabia
28.02757881,2001,Saudi Arabia
29.27031712,2002,Saudi Arabia
34.81638225,2003,Saudi Arabia
42.13973558,2004,Saudi Arabia
48.65310796,2005,Saudi Arabia
48.50552786,2006,Saudi Arabia
48.92772775,2007,Saudi Arabia
52.75226934,2008,Saudi Arabia
36.59862149,2009,Saudi Arabia
43.56365505,2010,Saudi Arabia
50.59068846,2011,Saudi Arabia
48.92873536,2012,Saudi Arabia
44.6088549,2013,Saudi Arabia
38.92448874,2014,Saudi Arabia
25.50283714,2015,Saudi Arabia
27.23567748,2016,Saudi Arabia
30.37145768,2017,Saudi Arabia
35.18997986,2018,Saudi Arabia
33.89475919,2019,Saudi Arabia
24.56037839,2020,Saudi Arabia
21.02824253,1974,Senegal
17.32097813,1975,Senegal
15.00643568,1976,Senegal
15.36490884,1977,Senegal
9.849616886,1978,Senegal
9.223271194,1979,Senegal
3.484703602,1980,Senegal
7.452038866,1981,Senegal
7.9814795830000005,1982,Senegal
5.212881556,1983,Senegal
4.9588861,1984,Senegal
5.080017554,1985,Senegal
2.630968608,1986,Senegal
5.943214384,1987,Senegal
2.646399559,1988,Senegal
2.7069232149999998,1989,Senegal
2.571674859,1990,Senegal
3.016926364,1991,Senegal
3.7482174600000002,1992,Senegal
1.492260442,1993,Senegal
5.815936493,1994,Senegal
8.491258759,1995,Senegal
7.980345318,1996,Senegal
10.76193471,1997,Senegal
11.13823167,1998,Senegal
11.54025288,1999,Senegal
11.27739515,2000,Senegal
14.67052206,2001,Senegal
13.03217307,2002,Senegal
14.52874888,2003,Senegal
13.564609279999999,2004,Senegal
15.31846417,2005,Senegal
13.40037849,2006,Senegal
15.15431727,2007,Senegal
14.90772893,2008,Senegal
14.983633619999999,2009,Senegal
16.28259487,2010,Senegal
14.38264462,2011,Senegal
15.84553068,2012,Senegal
16.28849893,2013,Senegal
18.95045331,2014,Senegal
20.14248361,2015,Senegal
21.15496587,2016,Senegal
22.54339558,2017,Senegal
23.06032511,2018,Senegal
