Max % of search queries,Most Popular Team
36,Manchester United
29,Liverpool
52,Manchester City
32,Manchester City
25,Manchester United
32,Manchester United
46,Manchester City
27,Liverpool
33,Manchester United
31,Liverpool
33,Liverpool
28,Manchester United
30,Manchester United
33,Liverpool
29,Manchester United
26,Manchester United
28,Manchester United
28,Manchester City
33,Manchester United
27,Manchester United
27,Manchester United
40,Manchester United
34,Manchester United
27,Manchester United
31,Manchester United
24,Liverpool
30,Liverpool
42,Liverpool
32,Liverpool
28,Manchester United
23,Manchester United
42,Manchester United
25,Manchester United
29,Manchester United
29,Manchester United
34,Manchester United
28,Manchester United
23,Manchester City
27,Liverpool
30,Manchester City
31,Manchester United
42,Liverpool
32,Manchester United
23,Liverpool
25,Manchester City
32,Manchester United
27,Chelsea
40,Manchester United
32,Manchester United
32,Liverpool
27,Manchester United
35,Chelsea
32,Liverpool
32,Liverpool
35,Manchester United
34,Manchester United
37,Manchester United
63,Liverpool
32,Manchester City
27,Chelsea
42,Arsenal
28,Liverpool
25,Liverpool
28,Manchester United
51,Liverpool
39,Liverpool
40,Manchester United
31,Liverpool
27,Liverpool
28,Liverpool
29,Manchester City
25,Manchester United
34,Manchester United
33,Liverpool
35,Liverpool
33,Chelsea
37,Liverpool
37,Liverpool
37,Liverpool
33,Manchester United
23,Manchester City
37,Manchester United
33,Manchester United
29,Liverpool
26,Liverpool
26,Liverpool
32,Manchester United
29,Manchester United
33,Manchester United
33,Manchester United
29,Manchester United
37,Liverpool
45,Manchester United
38,Manchester United
31,Manchester United
32,Manchester United
39,Liverpool
49,Liverpool
34,Liverpool
37,Liverpool
27,Manchester United
35,Arsenal
35,Liverpool
41,Liverpool
27,Manchester United
27,Manchester United
43,Manchester United
28,Manchester United
46,Liverpool
32,Manchester United
45,Manchester United
27,Manchester United
33,Liverpool
25,Manchester United
35,Chelsea
37,Liverpool
48,Liverpool
28,Manchester United
29,Liverpool
39,Manchester United
25,Liverpool
28,Manchester United
36,Manchester United
34,Manchester United
30,Chelsea
36,Liverpool
25,Liverpool
33,Liverpool
41,Liverpool
27,Manchester United
27,Manchester City
39,Manchester United
25,Liverpool
27,Liverpool
25,Liverpool
28,Manchester United
46,Manchester United
29,Manchester United
40,Manchester United
31,Liverpool
28,Manchester United
29,Manchester United
39,Manchester United
25,Chelsea
30,Manchester United
29,Manchester United
33,Liverpool
34,Liverpool
41,Manchester United
35,Liverpool
33,Manchester United
35,Liverpool
35,Manchester United
27,Manchester City
27,Manchester United
28,Liverpool
31,Manchester United
28,Manchester United
30,Liverpool
33,Liverpool
27,Manchester United
29,Arsenal
27,Liverpool
54,Manchester United
40,Liverpool
40,Liverpool
33,Liverpool
29,Liverpool
33,Manchester United
34,Manchester United
35,Manchester United
28,Liverpool
32,Manchester United
27,Manchester United
32,Manchester United
31,Liverpool
30,Manchester United
30,Tottenham Hotspur
25,Manchester United
32,Manchester City
47,Manchester United
29,Manchester City
27,Liverpool
31,Manchester United
29,Manchester United
28,Liverpool
28,Manchester United
32,Liverpool
29,Manchester United
31,Liverpool
30,Liverpool
37,Liverpool
33,Liverpool
34,Manchester United
33,Manchester United
27,Manchester United
36,Liverpool
45,Manchester United
30,Manchester United
34,Manchester United
30,Liverpool
30,Liverpool
28,Manchester United
30,Manchester United
24,Liverpool
33,Arsenal
26,Liverpool
29,Manchester United
31,Liverpool
24,Manchester United
40,Liverpool
31,Manchester United
32,Manchester United
35,Manchester United
44,Manchester United
28,Liverpool
39,Liverpool
28,Manchester United
26,Manchester United
43,Liverpool
