90Avg,perMet,servArea,dis,sNumber,q,totInc
7.13,93.06,CENTRAL,CENTRAL,11,1,331
7.65,92.18,EASTERN,EASTERN,11,1,129
7.5,90.82,NORTH & WEST REGIONAL,NORTH & WEST REGIONAL,6,1,113
7.67,89.92,SOUTH & EAST REGIONAL,SOUTH & EAST REGIONAL,6,1,92
7.84,88.51,SOUTHERN D1,SOUTHERN D1,9,1,186
8.12,88.17,NORTHERN,NORTHERN,11,1,161
8.14,84.6,WESTERN D3,WESTERN D3,5,1,131
8.72,81.09,SOUTHERN D2,SOUTHERN D2,8,1,177
8.78,79.57,WESTERN D1,WESTERN D1,9,1,124
9.06,78.99,WESTERN D2,WESTERN D2,10,1,130
7.28,91.77,CENTRAL,CENTRAL,11,2,293
7.65,89.69,EASTERN,EASTERN,11,2,122
7.95,87.35,SOUTH & EAST REGIONAL,SOUTH & EAST REGIONAL,6,2,93
8.03,86.99,SOUTHERN D1,SOUTHERN D1,9,2,176
7.98,86.73,NORTH & WEST REGIONAL,NORTH & WEST REGIONAL,6,2,95
8.19,86.59,NORTHERN,NORTHERN,11,2,145
8.44,84.96,SOUTHERN D2,SOUTHERN D2,8,2,153
8.18,82.64,WESTERN D3,WESTERN D3,5,2,118
8.68,79.82,WESTERN D1,WESTERN D1,9,2,115
8.88,78.11,WESTERN D2,WESTERN D2,10,2,128
7.3,93.25,NORTH & WEST REGIONAL,NORTH & WEST REGIONAL,6,3,85
6.99,92.96,CENTRAL,CENTRAL,11,3,271
7.97,89.37,NORTHERN,NORTHERN,11,3,128
7.77,88.55,SOUTH & EAST REGIONAL,SOUTH & EAST REGIONAL,6,3,83
7.96,88.06,SOUTHERN D1,SOUTHERN D1,9,3,153
8.01,86.81,EASTERN,EASTERN,11,3,104
8.28,86.01,SOUTHERN D2,SOUTHERN D2,8,3,140
8.45,82.65,WESTERN D1,WESTERN D1,8,3,116
7.91,82.26,WESTERN D3,WESTERN D3,5,3,105
8.89,80.69,WESTERN D2,WESTERN D2,10,3,120
7.39,90.7,CENTRAL,CENTRAL,11,4,316
7.7,89.46,EASTERN,EASTERN,11,4,134
8.02,86.89,SOUTHERN D1,SOUTHERN D1,9,4,192
7.98,86.47,NORTH & WEST REGIONAL,NORTH & WEST REGIONAL,6,4,106
8.09,86.43,SOUTH & EAST REGIONAL,SOUTH & EAST REGIONAL,6,4,93
7.83,86.38,WESTERN D3,WESTERN D3,5,4,121
8.19,86.18,NORTHERN,NORTHERN,11,4,165
8.63,85.21,SOUTHERN D2,SOUTHERN D2,8,4,171
9.0,79.46,WESTERN D2,WESTERN D2,10,4,145
9.05,77.96,WESTERN D1,WESTERN D1,8,4,152
5.7,98.0,Eastern Hill,CENTRAL,1,1,360
6.7,98.0,Morwell,SOUTH & EAST REGIONAL,78,1,52
7.0,97.9,Boronia,EASTERN,85,1,112
6.4,96.5,Carlton,CENTRAL,3,1,341
7.3,96.5,Preston,NORTHERN,12,1,224
6.2,96.0,Ballarat City,NORTH & WEST REGIONAL,67,1,130
6.8,95.8,Brunswick,CENTRAL,4,1,231
6.5,95.7,Richmond,CENTRAL,10,1,359
7.1,95.7,Vermont South,EASTERN,28,1,155
6.7,95.6,Rowville,SOUTHERN D1,86,1,69
7.0,95.5,Box Hill,EASTERN,20,1,203
6.6,95.2,South Melbourne,CENTRAL,38,1,467
6.8,95.0,West Melbourne,CENTRAL,2,1,367
6.1,95.0,Ocean Grove,WESTERN D3,66,1,21
7.2,94.9,Ringwood,EASTERN,22,1,149
7.3,94.8,Oakleigh,SOUTHERN D1,25,1,177
7.3,94.7,Mornington,SOUTHERN D2,94,1,84
7.3,94.4,Croydon,EASTERN,26,1,144
7.3,94.1,Sunshine,WESTERN D2,44,1,218
7.5,93.7,Newport,WESTERN D1,42,1,86
7.4,93.7,Bendigo,NORTH & WEST REGIONAL,73,1,201
7.4,93.4,Bundoora,NORTHERN,14,1,191
7.5,93.0,Footscray,WESTERN D1,47,1,202
7.7,92.5,Thomastown,NORTHERN,7,1,153
7.6,92.2,Burwood,EASTERN,23,1,175
7.1,92.1,Traralgon,SOUTH & EAST REGIONAL,77,1,93
7.5,91.7,Heidelberg,NORTHERN,15,1,243
