Date,EnergyConsumption,Energy Source
1965,0.0,1 Geo Biomass
1965,0.0,3 Solar
1965,0.0,4 Wind
1965,41.11881256,5 Hydro
1965,0.0,2 Nuclear
1965,9.543754578,7 Gas
1965,323.4961243,6 Coal
1965,341.26275630000004,8 Oil
1966,0.0,1 Geo Biomass
1966,0.0,3 Solar
1966,0.0,4 Wind
1966,45.86291504,5 Hydro
1966,0.0,2 Nuclear
1966,10.66991615,7 Gas
1966,323.12219239999996,6 Coal
1966,369.48657230000003,8 Oil
1967,0.0,1 Geo Biomass
1967,0.0,3 Solar
1967,0.0,4 Wind
1967,47.87553787,5 Hydro
1967,0.0,2 Nuclear
1967,10.54566956,7 Gas
1967,330.29156489999997,6 Coal
1967,368.12524410000003,8 Oil
1968,0.0,1 Geo Biomass
1968,0.0,3 Solar
1968,0.0,4 Wind
1968,56.00046921,5 Hydro
1968,0.0,2 Nuclear
1968,10.68896961,7 Gas
1968,343.51290889999996,6 Coal
1968,389.1998596,8 Oil
1969,0.0,1 Geo Biomass
1969,0.0,3 Solar
1969,0.0,4 Wind
1969,65.35208893,5 Hydro
1969,0.0,2 Nuclear
1969,12.49199963,7 Gas
1969,346.6429443,6 Coal
1969,396.9228516,8 Oil
1970,0.0,1 Geo Biomass
1970,0.0,3 Solar
1970,0.0,4 Wind
1970,81.70288086,5 Hydro
1970,0.0,2 Nuclear
1970,15.52032471,7 Gas
1970,360.75689700000004,6 Coal
1970,433.7723083000001,8 Oil
1971,0.164000005,1 Geo Biomass
1971,0.0,3 Solar
1971,0.0,4 Wind
1971,76.92131805,5 Hydro
1971,0.0,2 Nuclear
1971,18.405263899999998,7 Gas
1971,383.01232910000004,6 Coal
1971,473.56542970000004,8 Oil
1972,0.165000007,1 Geo Biomass
1972,0.0,3 Solar
1972,0.0,4 Wind
1972,87.62504578,5 Hydro
1972,0.0,2 Nuclear
1972,24.6706562,7 Gas
1972,384.21081539999994,6 Coal
1972,510.6726379,8 Oil
1973,0.17000000199999998,1 Geo Biomass
1973,0.0,3 Solar
1973,0.0,4 Wind
1973,92.68891907,5 Hydro
1973,0.0,2 Nuclear
1973,39.55179214,7 Gas
1973,408.9103394,6 Coal
1973,549.7197876,8 Oil
1974,0.174999997,1 Geo Biomass
1974,0.0,3 Solar
1974,0.0,4 Wind
1974,105.46715549999999,5 Hydro
1974,0.0,2 Nuclear
1974,44.51848602,7 Gas
1974,425.6462097,6 Coal
1974,567.7996826,8 Oil
1975,0.172000006,1 Geo Biomass
1975,0.0,3 Solar
1975,0.0,4 Wind
1975,111.53163149999999,5 Hydro
1975,0.0,2 Nuclear
1975,53.63837814,7 Gas
1975,451.08050539999994,6 Coal
1975,596.4046631,8 Oil
1976,0.185000002,1 Geo Biomass
1976,0.0,3 Solar
1976,0.0,4 Wind
1976,123.59515379999999,5 Hydro
1976,0.0,2 Nuclear
1976,60.98139191,7 Gas
1976,481.07415769999994,6 Coal
1976,652.5804443,8 Oil
1977,0.188999996,1 Geo Biomass
1977,0.0,3 Solar
1977,0.0,4 Wind
1977,135.8108673,5 Hydro
1977,0.0,2 Nuclear
1977,68.23419189,7 Gas
1977,491.69845580000003,6 Coal
1977,695.1663208,8 Oil
1978,0.194999993,1 Geo Biomass
1978,0.0,3 Solar
1978,0.0,4 Wind
1978,136.9291229,5 Hydro
1978,0.0,2 Nuclear
1978,97.36990356,7 Gas
1978,477.81558229999996,6 Coal
1978,732.1810303,8 Oil
