Date,area,type,value
01-Jan-05,Northwest,northwest_error,-1.1494446000000003
01-Jan-05,Westmidlands,westmidlands_error,-0.10395813
01-Jan-05,London,london_error,-0.11904907
01-Jan-05,Southwest,southwest_error,-0.85424805
01-Jan-05,England,england_error,-0.31591797
01-Feb-05,Northwest,northwest_error,-1.2453003
01-Feb-05,Westmidlands,westmidlands_error,-0.12567902
01-Feb-05,London,london_error,-0.30557251
01-Feb-05,Southwest,southwest_error,-0.50667572
01-Feb-05,England,england_error,-0.37171936
01-Mar-05,Northwest,northwest_error,-1.3318863
01-Mar-05,Westmidlands,westmidlands_error,-0.035614014
01-Mar-05,London,london_error,-0.47404480000000004
01-Mar-05,Southwest,southwest_error,-0.54434967
01-Mar-05,England,england_error,-0.41244507
01-Apr-05,Northwest,northwest_error,-1.427742
01-Apr-05,Westmidlands,westmidlands_error,0.042663574
01-Apr-05,London,london_error,-0.56056976
01-Apr-05,Southwest,southwest_error,-0.4967804
01-Apr-05,England,england_error,-0.46823883
01-May-05,Northwest,northwest_error,-1.4205093
01-May-05,Westmidlands,westmidlands_error,0.12487793
01-May-05,London,london_error,-0.74107361
01-May-05,Southwest,southwest_error,-0.34429169
01-May-05,England,england_error,-0.41901398
01-Jun-05,Northwest,northwest_error,-1.2163620000000002
01-Jun-05,Westmidlands,westmidlands_error,0.10315704
01-Jun-05,London,london_error,-0.92759705
01-Jun-05,Southwest,southwest_error,-0.19671631
01-Jun-05,England,england_error,-0.47481537
01-Jul-05,Northwest,northwest_error,-1.2091293
01-Jul-05,Westmidlands,westmidlands_error,0.18535614
01-Jul-05,London,london_error,-1.0081023999999998
01-Jul-05,Southwest,southwest_error,-0.14422607
01-Jul-05,England,england_error,-0.42558289
01-Aug-05,Northwest,northwest_error,-1.2049866000000002
01-Aug-05,Westmidlands,westmidlands_error,0.36363983
01-Aug-05,London,london_error,-0.8946228
01-Aug-05,Southwest,southwest_error,0.0033493040000000004
01-Aug-05,England,england_error,-0.3813858
01-Sep-05,Northwest,northwest_error,-1.1008377
01-Sep-05,Westmidlands,westmidlands_error,0.44191742
01-Sep-05,London,london_error,-0.88114929
01-Sep-05,Southwest,southwest_error,0.15091705
01-Sep-05,England,england_error,-0.33718872
01-Oct-05,Northwest,northwest_error,-1.093605
01-Oct-05,Westmidlands,westmidlands_error,0.42412567
01-Oct-05,London,london_error,-1.0616531
01-Oct-05,Southwest,southwest_error,0.10340118
01-Oct-05,England,england_error,-0.38796234
01-Nov-05,Northwest,northwest_error,-0.98946381
01-Nov-05,Westmidlands,westmidlands_error,0.50241089
01-Nov-05,London,london_error,-1.1481705
01-Nov-05,Southwest,southwest_error,0.25097656
01-Nov-05,England,england_error,-0.34375763
01-Dec-05,Northwest,northwest_error,-0.78222656
01-Dec-05,Westmidlands,westmidlands_error,0.88461304
01-Dec-05,London,london_error,-1.1286774
01-Dec-05,Southwest,southwest_error,0.4034729
01-Dec-05,England,england_error,-0.29454041
01-Jan-06,Northwest,northwest_error,-0.57807922
01-Jan-06,Westmidlands,westmidlands_error,1.0628891000000003
01-Jan-06,London,london_error,-1.0151978000000002
01-Jan-06,Southwest,southwest_error,0.45104218
01-Jan-06,England,england_error,-0.15033722
01-Feb-06,Northwest,northwest_error,-0.57394409
01-Feb-06,Westmidlands,westmidlands_error,0.94116974
01-Feb-06,London,london_error,-1.0017242
01-Feb-06,Southwest,southwest_error,0.39861298
01-Feb-06,England,england_error,-0.10614014
01-Mar-06,Northwest,northwest_error,-0.56052399
01-Mar-06,Westmidlands,westmidlands_error,0.93123627
01-Mar-06,London,london_error,-1.0701981000000003
01-Mar-06,Southwest,southwest_error,0.4609375
01-Mar-06,England,england_error,-0.14685059
01-Apr-06,Northwest,northwest_error,-0.55638123
01-Apr-06,Westmidlands,westmidlands_error,1.0095139000000002
01-Apr-06,London,london_error,-1.0567093
01-Apr-06,Southwest,southwest_error,0.4085083
01-Apr-06,England,england_error,-0.10265350000000001
01-May-06,Northwest,northwest_error,-0.54914856
01-May-06,Westmidlands,westmidlands_error,0.99172211
01-May-06,London,london_error,-1.1372223
01-May-06,Southwest,southwest_error,0.26100159
01-May-06,England,england_error,-0.15342712
01-Jun-06,Northwest,northwest_error,-0.64500427
01-Jun-06,Westmidlands,westmidlands_error,1.0700073
01-Jun-06,London,london_error,-1.1237488000000002
01-Jun-06,Southwest,southwest_error,0.20857239
01-Jun-06,England,england_error,-0.20922852
01-Jul-06,Northwest,northwest_error,-0.73777008
01-Jul-06,Westmidlands,westmidlands_error,1.0522079
01-Jul-06,London,london_error,-1.104248
01-Jul-06,Southwest,southwest_error,0.16105652
01-Jul-06,England,england_error,-0.16000366
01-Aug-06,Northwest,northwest_error,-0.73361969
01-Aug-06,Westmidlands,westmidlands_error,1.1304855
01-Aug-06,London,london_error,-1.1907729999999999
01-Aug-06,Southwest,southwest_error,0.20864105
01-Aug-06,England,england_error,-0.11580658
01-Sep-06,Northwest,northwest_error,-0.62947845
01-Sep-06,Westmidlands,westmidlands_error,1.2087708000000001
01-Sep-06,London,london_error,-1.3772888
01-Sep-06,Southwest,southwest_error,0.3562088
01-Sep-06,England,england_error,-0.17160797
01-Oct-06,Northwest,northwest_error,-0.62224579
01-Oct-06,Westmidlands,westmidlands_error,1.190979
01-Oct-06,London,london_error,-1.4578018
