municipio,total_votantes,votantes,departamento
El Encanto,776,296,Amazonas
La Chorrera,969,563,Amazonas
La Pedrera,965,249,Amazonas
La Victoria,61,17,Amazonas
Leticia,36216,15811,Amazonas
Miriti Parana,456,84,Amazonas
Puerto Alegria,264,73,Amazonas
Puerto Arica,450,145,Amazonas
Puerto Nariño,4456,2138,Amazonas
Puerto Santander,595,166,Amazonas
Tarapaca,1356,432,Amazonas
Abejorral,14967,7397,Antioquia
Abriaqui,1913,1056,Antioquia
Alejandria,4549,2343,Antioquia
Amaga,22350,10765,Antioquia
Amalfi,17182,6392,Antioquia
Andes,34753,17010,Antioquia
Angelopolis,5812,2677,Antioquia
Angostura,9079,3340,Antioquia
Anori,11628,3325,Antioquia
Antioquia,20540,10271,Antioquia
Anza,5771,2918,Antioquia
Apartado,92620,43652,Antioquia
Arboletes,22416,11180,Antioquia
Argelia,6570,3334,Antioquia
Armenia,4688,2068,Antioquia
Barbosa,40499,20912,Antioquia
Bello,331836,181478,Antioquia
Belmira,4750,2269,Antioquia
Betania,8342,3553,Antioquia
Betulia,13332,6284,Antioquia
Bolivar,23836,11663,Antioquia
Briceño,6610,2210,Antioquia
Buritica,7299,2930,Antioquia
Caceres,19548,5556,Antioquia
Caicedo,6267,3134,Antioquia
Caldas,63501,37414,Antioquia
Campamento,6625,1934,Antioquia
Caracoli,4710,1854,Antioquia
Caramanta,4992,2432,Antioquia
Carepa,42614,18268,Antioquia
Carmen De Viboral,36226,23960,Antioquia
Carolina,4049,1899,Antioquia
Caucasia,68594,29864,Antioquia
Cañasgordas,13434,7262,Antioquia
Chigorodo,46034,19542,Antioquia
Cisneros,11528,5070,Antioquia
Cocorna,13259,7614,Antioquia
Concepcion,4294,2229,Antioquia
Concordia,15881,6906,Antioquia
Copacabana,66571,36712,Antioquia
Dabeiba,17541,6620,Antioquia
Don Matias,17033,9098,Antioquia
Ebejico,11258,5416,Antioquia
El Bagre,36574,12517,Antioquia
Entrerrios,8462,4647,Antioquia
Envigado,241042,145705,Antioquia
Fredonia,18205,7919,Antioquia
Frontino,16854,6136,Antioquia
Giraldo,4342,2439,Antioquia
Girardota,49817,25652,Antioquia
Gomez Plata,8435,4202,Antioquia
Granada,10039,5337,Antioquia
Guadalupe,5752,2083,Antioquia
Guarne,34883,23069,Antioquia
Guatape,6871,4583,Antioquia
Heliconia,6032,2750,Antioquia
Hispania,5366,2449,Antioquia
Itagui,253471,139116,Antioquia
Ituango,17607,4396,Antioquia
Jardin,12392,7525,Antioquia
Jerico,11033,6193,Antioquia
La Ceja,47648,32580,Antioquia
La Estrella,58076,32017,Antioquia
La Pintada,6961,3587,Antioquia
La Union,17164,10996,Antioquia
Liborina,9118,4761,Antioquia
Maceo,7719,3688,Antioquia
Marinilla,41281,27183,Antioquia
Medellin,1588150,975010,Antioquia
Montebello,6185,3017,Antioquia
Murindo,3010,1299,Antioquia
Mutata,10699,4231,Antioquia
Nariño,8821,4114,Antioquia
Nechi,18198,5139,Antioquia
Necocli,33425,12927,Antioquia
Olaya,2914,1611,Antioquia
Peque,6063,3046,Antioquia
Peñol,16308,9527,Antioquia
Pueblorrico,7106,3502,Antioquia
Puerto Berrio,34079,14071,Antioquia
Puerto Nare-La Magdalena,11937,5529,Antioquia
Puerto Triunfo,13768,7321,Antioquia
Remedios,18027,5562,Antioquia
Retiro,17049,12015,Antioquia
Rionegro,103860,69946,Antioquia
Sabanalarga,7134,3463,Antioquia
Sabaneta,70193,45394,Antioquia
Salgar,13482,6344,Antioquia
San Andres,5255,2151,Antioquia
San Carlos,14045,7274,Antioquia
San Francisco,6182,2799,Antioquia
San Jeronimo,12393,6450,Antioquia
San Jose De La Montaña,3122,1550,Antioquia
San Juan De Uraba,17747,7389,Antioquia
San Luis,11011,6102,Antioquia
San Pedro,20146,11647,Antioquia
San Pedro De Uraba,25750,10576,Antioquia
San Rafael,12273,6240,Antioquia
San Roque,14772,7130,Antioquia
San Vicente,16236,10153,Antioquia
Santa Barbara,22126,10676,Antioquia
Santa Rosa De Osos,26407,15497,Antioquia
Santo Domingo,9172,4696,Antioquia
Santuario,27101,18244,Antioquia
Segovia,27130,7599,Antioquia
Sonson,26908,15161,Antioquia
Sopetran,12280,5968,Antioquia
Tamesis,14424,7714,Antioquia
Taraza,25880,5480,Antioquia
Tarso,5894,2510,Antioquia
Titiribi,8672,3650,Antioquia
Toledo,4502,1790,Antioquia
Turbo,85106,36632,Antioquia
Uramita,6353,2853,Antioquia
Urrao,22724,8729,Antioquia
Valdivia,11987,3306,Antioquia
Valparaiso,5656,2775,Antioquia
Vegachi,10324,4111,Antioquia
Venecia,11084,5105,Antioquia
Vigia Del Fuerte,6068,2066,Antioquia
Yali,6094,2627,Antioquia
Yarumal,33089,14481,Antioquia
Yolombo,15720,6444,Antioquia
Yondo-Casabe,12961,7118,Antioquia
Zaragoza,19182,5700,Antioquia
Arauca,70548,36015,Arauca
Arauquita,28989,12740,Arauca
Cravo Norte,3637,1506,Arauca
Fortul,11663,5689,Arauca
Puerto Rondon,3820,1722,Arauca
Saravena,34492,17165,Arauca
Tame,34040,18417,Arauca
Baranoa,47096,23592,Atlantico
Barranquilla,1066702,448357,Atlantico
Campo De La Cruz,20612,8221,Atlantico
Candelaria,12514,5234,Atlantico
Galapa,38793,15970,Atlantico
Juan De Acosta,18541,8494,Atlantico
Luruaco,24168,9340,Atlantico
Malambo,81189,32535,Atlantico
Manati,14291,5492,Atlantico
Palmar De Varela,20785,9345,Atlantico
Piojo,5548,2519,Atlantico
Polonuevo,13033,7109,Atlantico
Ponedera,18526,7776,Atlantico
Puerto Colombia,34795,16206,Atlantico
Repelon,19147,9051,Atlantico
Sabanagrande,23704,11809,Atlantico
Sabanalarga,67099,34024,Atlantico
Santa Lucia,11057,5402,Atlantico
Santo Tomas,26967,12346,Atlantico
Soledad,275722,119546,Atlantico
Suan,10218,4572,Atlantico
Tubara,9943,5334,Atlantico
Usiacuri,7961,4226,Atlantico
Bogotá D.C.,5702805,3572698,Bogotá D.C.
Achi,16609,8381,Bolivar
Altos Del Rosario,6897,2620,Bolivar
Arenal,5789,2531,Bolivar
Arjona,53278,23482,Bolivar
Arroyo Hondo,8758,3384,Bolivar
Barranco De Loba,11248,4919,Bolivar
Calamar,17743,7604,Bolivar
Cantagallo,6526,3322,Bolivar
Cartagena,750215,316545,Bolivar
Cicuco,9984,4426,Bolivar
Clemencia,11076,4594,Bolivar
Cordoba,13663,7042,Bolivar
El Carmen De Bolivar,54965,25907,Bolivar
El Guamo,8025,3408,Bolivar
El Peñon,6344,2674,Bolivar
Hatillo De Loba,10432,4368,Bolivar
Magangue,93880,43495,Bolivar
Mahates,20121,8703,Bolivar
Margarita,9549,4097,Bolivar
Maria La Baja,39270,15663,Bolivar
Mompos,35554,15108,Bolivar
Montecristo,8363,2830,Bolivar
Morales,11170,6241,Bolivar
Norosi,3982,1557,Bolivar
Pinillos,16573,7466,Bolivar
Regidor,4806,2226,Bolivar
Rioviejo,6263,3107,Bolivar
San Cristobal,6877,3192,Bolivar
San Estanislao,14531,7083,Bolivar
San Fernando,8446,3498,Bolivar
San Jacinto,20728,10459,Bolivar
San Jacinto Del Cauca,7027,2733,Bolivar
San Juan Nepomuceno,30730,14813,Bolivar
San Martin De Loba,11134,5320,Bolivar
San Pablo,18154,8637,Bolivar
Santa Catalina,11983,4737,Bolivar
Santa Rosa,14260,6070,Bolivar
Santa Rosa Del Sur,20582,11501,Bolivar
Simiti,11932,5699,Bolivar
Soplaviento,8297,3924,Bolivar
TIquisio (pto. Rico),13193,5100,Bolivar
Talaigua Nuevo,9122,4724,Bolivar
Turbaco,63358,27684,Bolivar
Turbana,14587,7170,Bolivar
Villanueva,15574,7239,Bolivar
Zambrano,9046,4443,Bolivar
Almeida,1965,927,Boyaca
Aquitania (puebloviejo),12478,7723,Boyaca
Arcabuco,4806,2773,Boyaca
Belen,6638,3895,Boyaca
Berbeo,1442,807,Boyaca
Beteitiva,1908,980,Boyaca
Boavita,4953,2587,Boyaca
Boyaca,4280,2184,Boyaca
Briceño,2193,1264,Boyaca
Buenavista,4607,2701,Boyaca
Busbanza,854,540,Boyaca
Caldas,3174,1724,Boyaca
Campohermoso,2502,1262,Boyaca
Cerinza,3488,2234,Boyaca
Chinavita,2990,1511,Boyaca
Chiquinquira,40741,24298,Boyaca
Chiquiza,4466,2224,Boyaca
Chiscas,3321,1784,Boyaca
Chita,6087,3218,Boyaca
Chitaraque,5411,2838,Boyaca
Chivata,2674,1606,Boyaca
Chivor,1806,1019,Boyaca
Cienega,3790,2288,Boyaca
Combita,8929,5024,Boyaca
Coper,3174,1718,Boyaca
Corrales,2201,1374,Boyaca
Covarachia,3072,1563,Boyaca
Cubara,5629,2476,Boyaca
Cucaita,3213,2020,Boyaca
Cuitiva,1861,1032,Boyaca
Duitama,86458,57711,Boyaca
El Cocuy,3496,2066,Boyaca
El Espino,2254,1351,Boyaca
Firavitoba,5777,3034,Boyaca
Floresta,3088,1930,Boyaca
Gachantiva,2994,1760,Boyaca
Gameza,3982,2276,Boyaca
Garagoa,11756,6985,Boyaca
Guacamayas,1611,960,Boyaca
Guateque,8849,4928,Boyaca
Guayata,3760,2170,Boyaca
Guican,2951,1758,Boyaca
Iza,2181,1282,Boyaca
Jenesano,5640,3117,Boyaca
Jerico,3183,1778,Boyaca
La Capilla,2475,1505,Boyaca
La Uvita,2472,1421,Boyaca
La Victoria,1678,865,Boyaca
Labranzagrande,2823,1738,Boyaca
Macanal,3547,1957,Boyaca
Maripi,6145,2866,Boyaca
Miraflores,7445,4576,Boyaca
Mongua,3996,2697,Boyaca
Mongui,3741,2282,Boyaca
Moniquira,17657,10225,Boyaca
Motavita,5215,3172,Boyaca
Muzo,7425,4265,Boyaca
Nobsa,12127,8542,Boyaca
Nuevo Colon,4571,2619,Boyaca
Oicata,2625,1666,Boyaca
Otanche,6378,3483,Boyaca
Pachavita,1952,1111,Boyaca
Paez,2395,1490,Boyaca
Paipa,25890,16696,Boyaca
Pajarito,1667,966,Boyaca
Panqueba,1616,895,Boyaca
Pauna,6599,3580,Boyaca
Paya,1555,963,Boyaca
Paz De Rio,4236,2396,Boyaca
Pesca,6370,3293,Boyaca
Pisba,1028,616,Boyaca
Puerto Boyaca,36098,20525,Boyaca
Quipama,5067,2817,Boyaca
Ramiriqui,8598,4795,Boyaca
Raquira,4615,2767,Boyaca
Rondon,2269,1336,Boyaca
Saboya,9545,5706,Boyaca
Sachica,3499,2313,Boyaca
Samaca,13885,7858,Boyaca
San Eduardo,1473,898,Boyaca
San Jose De Pare,5381,2731,Boyaca
San Luis De Gaceno,4381,2509,Boyaca
San Mateo,3562,2054,Boyaca
San Miguel De Sema,2691,1514,Boyaca
San Pablo De Borbur,5776,3256,Boyaca
Santa Maria,3186,1584,Boyaca
Santa Rosa De Viterbo,8147,5334,Boyaca
Santa Sofia,3042,1805,Boyaca
Santana,6939,3643,Boyaca
Sativanorte,2451,1381,Boyaca
Sativasur,1213,616,Boyaca
Siachoque,6191,3819,Boyaca
Soata,7413,4638,Boyaca
Socha,6041,3280,Boyaca
Socota,5774,3071,Boyaca
Sogamoso,91941,59913,Boyaca
Somondoco,2670,1448,Boyaca
