Cnt_UPlCod,Mujeres_20,UPlNombre,Hombres_20,OBJECTID,UPlCodigo
74,53.4,GALERIAS,46.6,1,UPZ100
13,52.8,LAS MARGARITAS,47.2,2,UPZ83
38,53.6,QUINTA PAREDES,46.4,3,UPZ107
72,52.9,TEUSAQUILLO,47.1,4,UPZ101
45,49.8,SAGRADO CORAZON,50.2,5,UPZ91
52,51.4,GRAN BRITALIA,48.6,6,UPZ81
68,46.3,ZONA INDUSTRIAL,53.7,7,UPZ108
105,52.2,FONTIBON,47.8,8,UPZ75
62,52.4,DOCE DE OCTUBRE,47.6,9,UPZ22
39,53.8,MODELIA,46.2,10,UPZ114
20,47.7,PARQUE SALITRE,52.3,11,UPZ103
27,38.0,JARDIN BOTANICO,62.0,12,UPZ105
42,58.3,EL REFUGIO,41.7,13,UPZ88
97,52.5,SUBA,47.5,14,UPZ27
72,53.8,BOLIVIA,46.2,15,UPZ72
32,56.7,COUNTRY CLUB,43.3,16,UPZ15
92,56.8,SANTA BARBARA,43.2,17,UPZ16
51,51.1,LOS ANDES,48.9,18,UPZ21
16,49.3,SAN ISIDRO - PATIOS,50.7,19,UPZ89
25,55.3,LA ESMERALDA,44.7,20,UPZ106
57,50.5,EL PORVENIR,49.5,21,UPZ86
92,49.9,PATIO BONITO,50.1,22,UPZ82
79,51.7,CHAPINERO,48.3,23,UPZ99
32,53.8,CIUDAD SALITRE ORIENTAL,46.2,24,UPZ109
43,51.3,PARDO RUBIO,48.7,25,UPZ90
57,51.3,SOSIEGO,48.7,26,UPZ33
63,19.3,PUENTE ARANDA,80.7,27,UPZ111
101,48.3,LA SABANA,51.7,28,UPZ102
115,51.6,CARVAJAL,48.4,29,UPZ45
53,45.4,LAS NIEVES,54.6,30,UPZ93
71,52.2,SANTA ISABEL,47.8,31,UPZ37
36,51.6,APOGEO,48.4,32,UPZ49
69,54.3,EL PRADO,45.7,33,UPZ19
100,55.1,NIZA,44.9,34,UPZ24
50,53.8,CASA BLANCA SUBA,46.2,35,UPZ23
45,54.1,CIUDAD SALITRE OCCIDENTAL,45.9,36,UPZ110
39,50.8,PARQUE SIMON BOLIVAR - CAN,49.2,37,UPZ104
80,53.4,SANTA CECILIA,46.6,38,UPZ31
56,50.3,EL TESORO,49.7,39,UPZ68
3,49.0,MONTE BLANCO,51.0,40,UPZ64
157,51.5,TIBABUYES,48.5,41,UPZ71
68,52.1,MINUTO DE DIOS,47.9,42,UPZ29
42,50.3,FONTIBON SAN PABLO,49.7,43,UPZ76
7,49.4,GUAYMARAL,50.6,44,UPZ3
30,49.7,CORABASTOS,50.3,45,UPZ80
167,50.7,LUCERO,49.3,46,UPZ67
5,48.3,EL MOCHUELO,51.7,47,UPZ63
60,51.1,DIANA TURBAY,48.9,48,UPZ55
72,51.0,LOS LIBERTADORES,49.0,49,UPZ51
0,48.8,PARQUE ENTRENUBES,51.2,50,UPZ60
40,50.2,DANUBIO,49.8,51,UPZ56
59,52.6,ARBORIZADORA,47.4,52,UPZ65
20,49.3,LA ACADEMIA,50.7,53,UPZ2
20,53.1,SAN JOSE DE BAVARIA,46.9,54,UPZ17
69,53.2,BRITALIA,46.8,55,UPZ18
140,52.5,LAS FERIAS,47.5,56,UPZ26
38,52.2,CAPELLANIA,47.8,57,UPZ115
69,51.5,LA GLORIA,48.5,58,UPZ50
41,56.5,LA ALHAMBRA,43.5,59,UPZ20
77,52.0,CALANDAIMA,48.0,60,UPZ79
31,50.6,CIUDAD USME,49.4,61,UPZ61
53,53.8,TOBERIN,46.2,62,UPZ12
44,53.7,LA URIBE,46.3,63,UPZ10
45,50.4,ALFONSO LOPEZ,49.6,64,UPZ59
78,50.9,COMUNEROS,49.1,65,UPZ58
94,52.9,SAN RAFAEL,47.1,66,UPZ43
115,52.8,KENNEDY CENTRAL,47.2,67,UPZ47
136,52.4,TIMIZA,47.6,68,UPZ48
44,51.6,BAVARIA,48.4,69,UPZ113
100,51.8,AMERICAS,48.2,70,UPZ44
121,56.6,LOS CEDROS,43.4,71,UPZ13
66,51.0,JERUSALEM,49.0,72,UPZ70
38,52.8,SAN JOSE,47.2,73,UPZ36
59,51.2,SAN FRANCISCO,48.8,74,UPZ66
105,51.0,GRAN YOMASA,49.0,75,UPZ57
26,50.2,LA FLORA,49.8,76,UPZ52
93,51.4,SAN CRISTOBAL NORTE,48.6,77,UPZ11
101,52.2,USAQUEN,47.8,78,UPZ14
137,52.6,GARCES NAVAS,47.4,79,UPZ73
82,50.8,ENGATIVA,49.2,80,UPZ74
55,55.1,LA FLORESTA,44.9,81,UPZ25
133,56.6,CHICO LAGO,43.4,82,UPZ97
111,52.2,LOS ALCAZARES,47.8,83,UPZ98
55,51.5,LOURDES,48.5,84,UPZ96
16,50.8,LA MACARENA,49.2,85,UPZ92
38,47.6,LA CANDELARIA,52.4,86,UPZ94
113,51.6,VERBENAL,48.4,87,UPZ9
148,51.8,EL RINCON,48.2,88,UPZ28
149,52.4,BOYACA REAL,47.6,89,UPZ30
31,51.8,ALAMOS,48.2,90,UPZ116
28,51.7,CIUDAD JARDIN,48.3,91,UPZ35
68,51.6,RESTREPO,48.4,92,UPZ38
76,53.5,MUZU,46.5,93,UPZ41
87,53.3,CIUDAD MONTES,46.7,94,UPZ40
