state,quantity,date
MS,225063.0,1996-01-01
MS,196164.0,1996-02-01
MS,178992.0,1996-03-01
MS,192592.0,1996-04-01
MS,237574.0,1996-05-01
MS,175308.0,1996-06-01
MS,156282.0,1996-07-01
MS,173892.0,1996-08-01
MS,138648.0,1996-09-01
MS,149113.0,1996-10-01
MS,96295.0,1996-11-01
MS,240615.0,1996-12-01
MS,241225.0,1997-01-01
MS,229550.0,1997-02-01
MS,130885.0,1997-03-01
MS,223608.0,1997-04-01
MS,251132.0,1997-05-01
MS,138178.0,1997-06-01
MS,235057.0,1997-07-01
MS,25587.0,1997-07-01
MS,174521.0,1997-07-01
MS,36918.0,1997-07-01
MS,38022.0,1997-07-01
MS,235143.0,1997-08-01
MS,17456.0,1997-08-01
MS,143686.0,1997-08-01
MS,38850.0,1997-08-01
MS,34032.0,1997-08-01
MS,252960.0,1997-09-01
MS,14054.0,1997-09-01
MS,194398.0,1997-09-01
MS,27000.0,1997-09-01
MS,29613.0,1997-09-01
MS,208213.0,1997-10-01
MS,7170.0,1997-10-01
MS,103984.0,1997-10-01
MS,23148.0,1997-10-01
MS,17345.0,1997-10-01
MS,145358.0,1997-11-01
MS,1965.0,1997-11-01
MS,123900.0,1997-11-01
MS,6468.0,1997-11-01
MS,6733.0,1997-11-01
MS,106968.0,1997-12-01
MS,113545.0,1997-12-01
MS,1320.0,1997-12-01
MS,12228.0,1997-12-01
MS,4615.0,1998-01-01
MS,125731.0,1998-01-01
MS,9800.0,1998-01-01
MS,48360.0,1998-01-01
MS,112597.0,1998-01-01
MS,7656.0,1998-01-01
MS,35418.0,1998-01-01
MS,26300.0,1998-02-01
MS,152960.0,1998-02-01
MS,16250.0,1998-02-01
MS,63165.0,1998-02-01
MS,3531.0,1998-02-01
MS,186566.0,1998-02-01
MS,15704.0,1998-02-01
MS,58060.0,1998-02-01
GUJ,190900.0,1998-03-01
MS,130900.0,1998-03-01
MS,281027.0,1998-03-01
MS,75000.0,1998-03-01
MS,129141.0,1998-03-01
MS,11450.0,1998-03-01
MS,249063.0,1998-03-01
MS,25545.0,1998-03-01
MS,40010.0,1998-03-01
GUJ,92000.0,1998-04-01
GUJ,251800.0,1998-04-01
MS,36750.0,1998-04-01
MS,119035.0,1998-04-01
MS,25000.0,1998-04-01
MS,50600.0,1998-04-01
MS,3900.0,1998-04-01
MS,36792.0,1998-04-01
MS,13190.0,1998-04-01
MS,11150.0,1998-04-01
GUJ,2500.0,1998-05-01
GUJ,99975.0,1998-05-01
MS,19785.0,1998-05-01
MS,233819.0,1998-05-01
MS,5000.0,1998-05-01
MS,60430.0,1998-05-01
MS,32315.0,1998-05-01
MS,231145.0,1998-05-01
MS,32779.0,1998-05-01
MS,25018.0,1998-05-01
GUJ,8679.0,1998-06-01
MS,16790.0,1998-06-01
MS,272471.0,1998-06-01
MS,860.0,1998-06-01
MS,71217.0,1998-06-01
MS,30774.0,1998-06-01
MS,188485.0,1998-06-01
MS,24137.0,1998-06-01
MS,25847.0,1998-06-01
GUJ,13885.0,1998-07-01
MS,17200.0,1998-07-01
MS,158223.0,1998-07-01
MS,425.0,1998-07-01
MS,25923.0,1998-07-01
MS,11525.0,1998-07-01
MS,100632.0,1998-07-01
MS,12236.0,1998-07-01
MS,17898.0,1998-07-01
GUJ,4190.0,1998-08-01
MS,8500.0,1998-08-01
MS,112556.0,1998-08-01
MS,650.0,1998-08-01
MS,19657.0,1998-08-01
MS,15677.0,1998-08-01
MS,91603.0,1998-08-01
MS,7676.0,1998-08-01
MS,17512.0,1998-08-01
GUJ,1948.0,1998-09-01
MS,3350.0,1998-09-01
MS,100767.0,1998-09-01
MS,1350.0,1998-09-01
MS,9212.0,1998-09-01
MS,13485.0,1998-09-01
MS,79488.0,1998-09-01
MS,3325.0,1998-09-01
MS,8250.0,1998-09-01
GUJ,150.0,1998-10-01
GUJ,1128.0,1998-10-01
MS,518.0,1998-10-01
MS,40024.0,1998-10-01
MS,2250.0,1998-10-01
MS,1570.0,1998-10-01
MS,4261.0,1998-10-01
MS,14571.0,1998-10-01
MS,266.0,1998-10-01
MS,530.0,1998-10-01
GUJ,300.0,1998-11-01
GUJ,5125.0,1998-11-01
MS,740.0,1998-11-01
MS,49798.0,1998-11-01
MS,10500.0,1998-11-01
MS,9300.0,1998-11-01
MS,61590.0,1998-11-01
MS,825.0,1998-11-01
GUJ,75770.0,1998-12-01
GUJ,35903.0,1998-12-01
MS,2237.0,1998-12-01
MS,153905.0,1998-12-01
MS,12000.0,1998-12-01
MS,88400.0,1998-12-01
MS,172317.0,1998-12-01
MS,15600.0,1998-12-01
GUJ,393650.0,1999-01-01
GUJ,73760.0,1999-01-01
MS,8900.0,1999-01-01
MS,236001.0,1999-01-01
MS,12000.0,1999-01-01
MS,93800.0,1999-01-01
MS,197678.0,1999-01-01
MS,261782.0,1999-01-01
MS,50788.0,1999-01-01
GUJ,401750.0,1999-02-01
GUJ,208000.0,1999-02-01
MS,50400.0,1999-02-01
MS,154785.0,1999-02-01
MS,25500.0,1999-02-01
MS,77500.0,1999-02-01
MS,21489.0,1999-02-01
MS,165305.0,1999-02-01
MS,348353.0,1999-02-01
MS,17682.0,1999-02-01
MS,30400.0,1999-02-01
GUJ,317500.0,1999-03-01
GUJ,187500.0,1999-03-01
MS,32250.0,1999-03-01
MS,228760.0,1999-03-01
MS,23000.0,1999-03-01
MS,89650.0,1999-03-01
MS,26656.0,1999-03-01
MS,151993.0,1999-03-01
MS,353155.0,1999-03-01
MS,9026.0,1999-03-01
MS,22500.0,1999-03-01
GUJ,306150.0,1999-04-01
GUJ,512000.0,1999-04-01
MS,33250.0,1999-04-01
MS,130225.0,1999-04-01
MS,46100.0,1999-04-01
MS,23570.0,1999-04-01
MS,11979.0,1999-04-01
MS,118147.0,1999-04-01
MS,390826.0,1999-04-01
MS,12358.0,1999-04-01
MS,34554.0,1999-04-01
GUJ,10500.0,1999-05-01
GUJ,241000.0,1999-05-01
MS,28527.0,1999-05-01
MS,199710.0,1999-05-01
MS,11032.0,1999-05-01
MS,55100.0,1999-05-01
MS,36930.0,1999-05-01
MS,283161.0,1999-05-01
MS,403277.0,1999-05-01
MS,23816.0,1999-05-01
MS,34706.0,1999-05-01
GUJ,15849.0,1999-06-01
MS,8600.0,1999-06-01
MS,179780.0,1999-06-01
MS,2700.0,1999-06-01
MS,18950.0,1999-06-01
MS,32417.0,1999-06-01
MS,157910.0,1999-06-01
MS,324550.0,1999-06-01
MS,14788.0,1999-06-01
MS,27090.0,1999-06-01
GUJ,15950.0,1999-07-01
MS,13300.0,1999-07-01
MS,180555.0,1999-07-01
MS,559.0,1999-07-01
MS,37900.0,1999-07-01
MS,18805.0,1999-07-01
MS,161917.0,1999-07-01
MS,193343.0,1999-07-01
MS,16346.0,1999-07-01
MS,23223.0,1999-07-01
GUJ,20175.0,1999-08-01
MS,11200.0,1999-08-01
MS,134955.0,1999-08-01
MS,2717.0,1999-08-01
MS,25150.0,1999-08-01
MS,13417.0,1999-08-01
MS,133320.0,1999-08-01
MS,218589.0,1999-08-01
MS,14260.0,1999-08-01
MS,22420.0,1999-08-01
GUJ,14910.0,1999-09-01
MS,9200.0,1999-09-01
MS,98877.0,1999-09-01
MS,36941.0,1999-09-01
MS,20575.0,1999-09-01
MS,9802.0,1999-09-01
MS,88508.0,1999-09-01
MS,202004.0,1999-09-01
MS,17040.0,1999-09-01
MS,23215.0,1999-09-01
GUJ,12725.0,1999-10-01
MS,7625.0,1999-10-01
MS,94707.0,1999-10-01
MS,36925.0,1999-10-01
MS,13025.0,1999-10-01
MS,6687.0,1999-10-01
MS,98673.0,1999-10-01
MS,252051.0,1999-10-01
MS,7575.0,1999-10-01
MS,11016.0,1999-10-01
GUJ,16350.0,1999-11-01
MS,3780.0,1999-11-01
MS,136140.0,1999-11-01
MS,45000.0,1999-11-01
MS,33575.0,1999-11-01
MS,5176.0,1999-11-01
MS,74820.0,1999-11-01
MS,290522.0,1999-11-01
MS,7873.0,1999-11-01
MS,16376.0,1999-11-01
GUJ,36433.0,1999-12-01
GUJ,34000.0,1999-12-01
MS,3970.0,1999-12-01
MS,286748.0,1999-12-01
MS,29000.0,1999-12-01
MS,146900.0,1999-12-01
MS,10490.0,1999-12-01
MS,257928.0,1999-12-01
MS,264734.0,1999-12-01
MS,19146.0,1999-12-01
MS,51425.0,1999-12-01
GUJ,247500.0,2000-01-01
GUJ,73025.0,2000-01-01
MS,14935.0,2000-01-01
MS,390783.0,2000-01-01
MS,25243.0,2000-01-01
MS,159200.0,2000-01-01
MS,48318.0,2000-01-01
MS,297952.0,2000-01-01
MS,322302.0,2000-01-01
MS,49025.0,2000-01-01
MS,87515.0,2000-01-01
GUJ,171450.0,2000-02-01
GUJ,199000.0,2000-02-01
MS,21524.0,2000-02-01
MS,485232.0,2000-02-01
MS,43280.0,2000-02-01
MS,167452.0,2000-02-01
MS,28045.0,2000-02-01
MS,340914.0,2000-02-01
MS,323065.0,2000-02-01
MS,35619.0,2000-02-01
MS,78947.0,2000-02-01
GUJ,115100.0,2000-03-01
GUJ,299250.0,2000-03-01
MS,84600.0,2000-03-01
MS,254922.0,2000-03-01
MS,18664.0,2000-03-01
MS,48450.0,2000-03-01
MS,19690.0,2000-03-01
MS,146924.0,2000-03-01
MS,656545.0,2000-03-01
MS,23255.0,2000-03-01
MS,66170.0,2000-03-01
GUJ,21500.0,2000-04-01
GUJ,287000.0,2000-04-01
MS,28500.0,2000-04-01
MS,142314.0,2000-04-01
MS,15982.0,2000-04-01
MS,21145.0,2000-04-01
MS,8594.0,2000-04-01
MS,83005.0,2000-04-01
MS,469417.0,2000-04-01
MS,5120.0,2000-04-01
MS,12658.0,2000-04-01
GUJ,149400.0,2000-05-01
MS,7130.0,2000-05-01
MS,207700.0,2000-05-01
MS,6750.0,2000-05-01
MS,53515.0,2000-05-01
MS,24731.0,2000-05-01
MS,264922.0,2000-05-01
MS,420918.0,2000-05-01
MS,36600.0,2000-05-01
MS,31154.0,2000-05-01
GUJ,16243.0,2000-06-01
