urbanicity,off_type,total_pop,money_bond_rate,povertyR,year
small/mid,Misdemeanor,672453,88.24302134646962,11.5,2016
small/mid,Misdemeanor,617222,43.31783352952141,11.33822352411288,2016
small/mid,Misdemeanor,148116,53.126044801069874,15.0,2016
small/mid,Misdemeanor,163043,54.738655944859275,19.9,2016
small/mid,Misdemeanor,341345,73.04135494335729,10.710969546939314,2016
rural,Misdemeanor,242521,73.94711020554428,11.99057318747655,2016
rural,Misdemeanor,66396,41.2756548723973,19.044960539791553,2016
rural,Misdemeanor,120318,58.12454802575279,12.55877840389634,2016
rural,Misdemeanor,180230,87.0307021493391,10.741742218276647,2016
rural,Misdemeanor,81590,79.34768674041433,25.76580095599951,2016
suburban,Misdemeanor,61706,93.43696027633851,4.9,2015
suburban,Misdemeanor,613727,82.91803777665872,7.882627129000354,2015
suburban,Misdemeanor,617385,48.76860266034505,9.2,2015
suburban,Misdemeanor,314250,70.36474164133737,3.4,2015
suburban,Misdemeanor,479488,96.30074465529667,12.8,2015
urban,Felony,648049,75.01965408805032,15.9,2014
suburban,Misdemeanor,489822,84.8625,11.7,2016
suburban,Misdemeanor,70587,75.86784227057306,5.480489325229858,2016
suburban,Misdemeanor,321484,74.162048033782,3.399999999999999,2016
suburban,Misdemeanor,670102,66.27021392396858,8.89506672118573,2016
suburban,Misdemeanor,573598,82.75659771429562,7.017706303020582,2016
small/mid,Felony,625608,80.58159254418855,13.047558375212594,2014
small/mid,Felony,269804,77.882797731569,10.5,2014
small/mid,Felony,147250,52.124833997343956,15.4,2014
small/mid,Felony,677296,94.00688351967099,12.106912634948383,2014
small/mid,Felony,161070,73.92953929539296,19.0,2014
rural,Felony,14589,80.66021989526,34.36999794365617,2014
rural,Felony,203214,62.79527645664383,17.155876071530503,2014
rural,Felony,176062,88.84305101299363,16.382415853506153,2014
rural,Felony,8265,42.327586206896555,26.333333333333332,2014
rural,Felony,283090,82.68336128819632,9.956916881557103,2014
rural,Misdemeanor,308686,75.87108922547256,11.940037773012058,2014
rural,Misdemeanor,114007,59.61732842928953,13.782830878805687,2014
rural,Misdemeanor,63692,75.14055415219872,27.00985210073479,2014
rural,Misdemeanor,141861,86.06813312410486,16.54733859200203,2014
rural,Misdemeanor,56974,93.30485102387263,10.243486502615227,2014
small/mid,Misdemeanor,293155,71.88652223564492,10.420345892104859,2014
small/mid,Misdemeanor,161070,75.05973715651135,19.0,2014
small/mid,Misdemeanor,309749,81.76647708263633,13.3,2014
small/mid,Misdemeanor,653945,88.63194046937608,12.2,2014
small/mid,Misdemeanor,463109,41.33705253878931,13.626695227257514,2014
suburban,Felony,64796,79.57957957957959,5.3,2016
suburban,Felony,9233,93.02325581395348,8.1,2016
suburban,Felony,346037,72.75773308014554,3.584482584232321,2016
suburban,Felony,489822,82.2636815920398,11.7,2016
suburban,Felony,1215705,85.24289793052584,8.067147457648032,2016
suburban,Felony,23998,76.82926829268293,5.9,2015
suburban,Felony,61706,94.17808219178082,4.9,2015
suburban,Felony,633749,78.77845458247164,9.2,2015
suburban,Felony,314250,74.41558441558442,3.4,2015
suburban,Felony,1052853,88.74130965830591,10.146801595284433,2015
small/mid,Felony,284382,74.4672454617206,11.5,2016
small/mid,Felony,650808,76.19853042131449,11.00457031874224,2016
small/mid,Felony,163043,70.98056537102474,19.9,2016
small/mid,Felony,148116,48.06629834254144,15.0,2016
small/mid,Felony,695830,94.4651987379978,11.432808300878088,2016
rural,Felony,261587,67.58647809400738,10.21849021549236,2016
rural,Felony,92212,93.98771837205503,8.159926039994797,2016
rural,Felony,11490,83.0476888664715,40.87095735422106,2016
rural,Felony,160808,84.86319912743207,15.285694741555146,2016
rural,Felony,164958,68.07438071987046,20.420964124201312,2016
small/mid,Felony,599257,74.7350953629814,11.786111468034584,2015
small/mid,Felony,312505,84.71933471933471,12.3,2015
small/mid,Felony,161419,63.816091954022994,19.8,2015
small/mid,Felony,147215,48.02798982188294,14.1,2015
small/mid,Felony,685223,93.399227527583,10.924771643683881,2015
rural,Felony,131948,90.09051034343726,8.236393882438536,2015
rural,Felony,324024,67.60330965251367,15.331672962496606,2015
rural,Felony,11970,56.040100250626566,33.03077694235589,2015
rural,Felony,5586,55.55555555555556,44.3,2015
rural,Felony,212626,85.47192746385875,13.902931438300113,2015
urban,Felony,681618,61.08337116053866,14.0,2016
suburban,Misdemeanor,606839,58.298041291688726,11.2,2014
suburban,Misdemeanor,60065,93.37952270977675,4.0,2014
suburban,Misdemeanor,582505,85.31574369556236,8.32983390700509,2014
suburban,Misdemeanor,469377,98.09244314013206,12.9,2014
suburban,Misdemeanor,329473,77.8571238180696,3.857110901348517,2014
urban,Felony,663271,75.3688141923436,15.7,2015
suburban,Felony,478385,93.66992888123545,12.817147903884948,2014
suburban,Felony,305944,83.86167146974063,3.7,2014
suburban,Felony,45217,81.93549460669402,7.395632173739965,2014
suburban,Felony,60065,96.28378378378379,4.0,2014
suburban,Felony,1158648,86.82430191565807,9.818867766569312,2014
rural,Misdemeanor,207731,62.55878907816531,11.840566886983648,2015
rural,Misdemeanor,17556,67.15862198183922,36.616438824333564,2015
rural,Misdemeanor,229971,82.59735979267458,9.90467058890034,2015
rural,Misdemeanor,119567,87.5533722256502,18.232644458755342,2015
rural,Misdemeanor,112040,71.85074089876355,18.78221706533381,2015
small/mid,Misdemeanor,275584,59.74607916355489,11.3,2015
small/mid,Misdemeanor,147215,56.14385614385614,14.1,2015
small/mid,Misdemeanor,323673,37.603169362826016,12.2,2015
small/mid,Misdemeanor,161419,60.92695805221473,19.8,2015
small/mid,Misdemeanor,997728,85.10320888390635,11.355516032425673,2015
