sample_id,metabolite,flux
Cancer7,glyc3p_m,0.0297717982
Cancer7,cytd_m,0.0888291023
Cancer7,dcyt_m,0.0887547241
Cancer7,cgly_m,0.1
Cancer7,amp_m,0.09999999050000001
Cancer7,nmn_m,0.1000000003
Cancer7,26dap_M_m,0.0999999847
Cancer7,orn_m,0.1000000411
Cancer7,csn_m,0.0793159611
Cancer7,acnam_m,0.0028827153
Cancer7,gam_m,0.0027036561
Cancer7,acgam_m,0.0027555878
Cancer7,acmana_m,0.0027707598
Cancer7,dgsn_m,0.0287639815
Cancer7,gsn_m,0.0328295589
Cancer7,metsox_S_L_m,0.0187872099
Cancer7,adn_m,0.0328831958
Cancer7,dad_2_m,0.0326020512
Cancer7,ptrc_m,0.0001763737
Cancer7,uri_m,1e-06
Cancer7,pi_m,0.0150806045
Cancer7,asn_L_m,0.022500000000000003
Cancer7,lys_L_m,0.015
Cancer7,gln_L_m,0.018000000000000002
Cancer7,arg_L_m,0.0150001331
Cancer7,his_L_m,0.015
Cancer7,ade_m,0.0152320226
Cancer7,gua_m,0.0142169105
Cancer7,tyr_L_m,0.002472077
Cancer7,ura_m,1e-06
Cancer7,ile_L_m,0.0021830267
Cancer7,leu_L_m,0.0020600993000000002
Cancer7,trp_L_m,0.0081819756
Cancer7,val_L_m,0.0021747451
Cancer7,glu_L_m,0.00223626
Cancer7,met_L_m,0.0022565678
Cancer7,pro_L_m,0.0022394787000000003
Cancer7,fol_m,0.0005299171
Cancer7,fe3_m,0.0018330514000000002
Cancer7,fe2_m,0.0012254242
Cancer7,k_m,0.001529037
Cancer7,cl_m,0.0015290622000000002
Cancer7,zn2_m,0.0015290380000000001
Cancer7,ca2_m,0.0015293938
Cancer7,cu2_m,0.0015294097
Cancer7,mn2_m,0.0015293925
Cancer7,cobalt2_m,0.0015290050000000002
Cancer7,mg2_m,0.00152954
Cancer7,pnto_R_m,0.0003029751
Cancer7,12dgr180_m,1e-06
Cancer7,pydam_m,7.4252e-06
Cancer7,spmd_m,0.0001775542
Cancer7,thm_m,1e-06
Cancer7,pheme_m,0.0001774172
Cancer7,sheme_m,0.00017689220000000001
Cancer7,ocdcea_m,1e-06
Cancer7,q8_m,1e-06
Cancer7,2dmmq8_m,1e-06
Cancer7,4abz_m,1e-06
Cancer7,indole_m,6.144490000000001e-05
Cancer7,gthox_m,1e-06
Cancer7,thymd_m,1e-06
Cancer7,amylose300_m,1e-06
Cancer7,galmannan_m,1e-06
Cancer7,xyluglc_m,1e-06
Cancer7,starch1200_m,1e-06
Cancer7,adocbl_m,1e-06
Cancer7,xyl_D_m,1e-06
Cancer7,mqn7_m,1e-06
Cancer7,pydx_m,0.0002438215
Cancer7,pydxn_m,0.0002442323
Cancer7,ncam_m,0.002390693
Cancer7,no2_m,0.0023312267000000003
Cancer7,gly_m,0.0023512196
Cancer7,phe_L_m,0.0023988860000000002
Cancer7,thr_L_m,0.0023123174
Cancer7,ser_L_m,0.0024768436
Cancer7,ala_D_m,0.0024794634
Cancer7,ala_L_m,0.0024799845
Cancer7,asp_L_m,0.0022665079
Cancer7,cys_L_m,0.0024329433
Cancer2,glyc3p_m,0.0486271489
Cancer2,cytd_m,0.1000000021
Cancer2,dcyt_m,0.0999999979
Cancer2,cgly_m,0.0995561641
Cancer2,amp_m,0.0999999954
Cancer2,nmn_m,0.1000000004
Cancer2,26dap_M_m,0.0993836178
Cancer2,orn_m,0.0993800818
Cancer2,csn_m,0.09999999970000001
Cancer2,acnam_m,1e-06
Cancer2,gam_m,1e-06
Cancer2,acgam_m,1e-06
Cancer2,acmana_m,1e-06
Cancer2,dgsn_m,1e-06
Cancer2,gsn_m,1e-06
Cancer2,metsox_S_L_m,1e-06
Cancer2,adn_m,1e-06
Cancer2,dad_2_m,1e-06
Cancer2,ptrc_m,0.029367383900000002
Cancer2,uri_m,0.0193331615
Cancer2,pi_m,0.014608771000000001
Cancer2,asn_L_m,0.021882212800000002
Cancer2,lys_L_m,0.0144014152
Cancer2,gln_L_m,0.0173917195
Cancer2,arg_L_m,0.0150000014
Cancer2,his_L_m,0.0150000015
Cancer2,ade_m,1e-06
Cancer2,gua_m,1e-06
Cancer2,tyr_L_m,1e-06
Cancer2,ura_m,0.007692649100000001
Cancer2,ile_L_m,1e-06
Cancer2,leu_L_m,1e-06
Cancer2,trp_L_m,0.0001190809
Cancer2,val_L_m,1e-06
Cancer2,glu_L_m,1e-06
Cancer2,met_L_m,1e-06
Cancer2,pro_L_m,1e-06
Cancer2,fol_m,0.0012830449
Cancer2,fe3_m,0.0017136959
Cancer2,fe2_m,0.0014057227000000001
Cancer2,k_m,0.0015600874
Cancer2,cl_m,0.0015600854
Cancer2,zn2_m,0.0015600785
Cancer2,ca2_m,0.0015600652
Cancer2,cu2_m,0.0015600751
Cancer2,mn2_m,0.0015600750000000002
Cancer2,cobalt2_m,0.001560074
Cancer2,mg2_m,0.0015600743000000002
Cancer2,pnto_R_m,0.0011371295000000001
Cancer2,12dgr180_m,0.0019652557
Cancer2,pydam_m,0.0003331291
Cancer2,spmd_m,0.0006959339
Cancer2,thm_m,0.0006882989
Cancer2,pheme_m,0.00035640730000000004
Cancer2,sheme_m,0.0003533362
Cancer2,ocdcea_m,1e-06
Cancer2,q8_m,1e-06
Cancer2,2dmmq8_m,0.00028651640000000003
Cancer2,4abz_m,1e-06
Cancer2,indole_m,1e-06
Cancer2,gthox_m,3.4117999999999997e-06
Cancer2,thymd_m,6.90656e-05
Cancer2,amylose300_m,2.885e-05
Cancer2,galmannan_m,1e-06
Cancer2,xyluglc_m,1e-06
Cancer2,starch1200_m,1e-06
Cancer2,adocbl_m,1e-06
Cancer2,xyl_D_m,1e-06
Cancer2,mqn7_m,6.1182999999999995e-06
Cancer2,pydx_m,1e-06
Cancer2,pydxn_m,1e-06
Cancer2,ncam_m,1e-06
Cancer2,no2_m,1e-06
Cancer2,gly_m,1e-06
Cancer2,phe_L_m,1e-06
Cancer2,thr_L_m,1e-06
Cancer2,ser_L_m,1e-06
Cancer2,ala_D_m,1e-06
Cancer2,ala_L_m,1e-06
Cancer2,asp_L_m,1e-06
Cancer2,cys_L_m,1e-06
Cancer3,glyc3p_m,0.0866408447
Cancer3,cytd_m,0.0999999993
Cancer3,dcyt_m,0.1000000004
Cancer3,cgly_m,0.0995319099
Cancer3,amp_m,0.099999999
Cancer3,nmn_m,0.1000000006
Cancer3,26dap_M_m,0.09940186940000001
Cancer3,orn_m,0.0993388769
Cancer3,csn_m,0.1000000023
Cancer3,acnam_m,1e-06
Cancer3,gam_m,1e-06
Cancer3,acgam_m,1e-06
Cancer3,acmana_m,1e-06
Cancer3,dgsn_m,1e-06
Cancer3,gsn_m,1e-06
Cancer3,metsox_S_L_m,1e-06
Cancer3,adn_m,1e-06
Cancer3,dad_2_m,1e-06
Cancer3,ptrc_m,0.0234009011
Cancer3,uri_m,0.0116083902
Cancer3,pi_m,0.0042367476
Cancer3,asn_L_m,0.02179166
Cancer3,lys_L_m,0.014396425800000001
Cancer3,gln_L_m,0.0173444856
Cancer3,arg_L_m,0.014999999000000002
Cancer3,his_L_m,0.014999995700000001
Cancer3,ade_m,1e-06
Cancer3,gua_m,1e-06
Cancer3,tyr_L_m,1e-06
Cancer3,ura_m,0.0017950955
Cancer3,ile_L_m,1e-06
Cancer3,leu_L_m,1e-06
Cancer3,trp_L_m,0.0001447736
Cancer3,val_L_m,1e-06
Cancer3,glu_L_m,1e-06
Cancer3,met_L_m,1e-06
Cancer3,pro_L_m,1e-06
Cancer3,fol_m,0.0019026632
Cancer3,fe3_m,0.0021930511
Cancer3,fe2_m,0.002156073
Cancer3,k_m,0.0021711020000000003
Cancer3,cl_m,0.0021711211000000003
Cancer3,zn2_m,0.0021710908
Cancer3,ca2_m,0.0021711071000000003
Cancer3,cu2_m,0.0021711168
Cancer3,mn2_m,0.0021711176
Cancer3,cobalt2_m,0.0021711307
Cancer3,mg2_m,0.0021711302
Cancer3,pnto_R_m,9.611800000000002e-05
Cancer3,12dgr180_m,1e-06
Cancer3,pydam_m,1.9888500000000004e-05
Cancer3,spmd_m,0.0006580319
Cancer3,thm_m,0.0006473726
Cancer3,pheme_m,0.0005947565000000001
Cancer3,sheme_m,0.0005633331
Cancer3,ocdcea_m,1e-06
Cancer3,q8_m,9.6309e-06
Cancer3,2dmmq8_m,1.0276000000000001e-06
Cancer3,4abz_m,1e-06
Cancer3,indole_m,1e-06
Cancer3,gthox_m,1e-06
Cancer3,thymd_m,1e-06
Cancer3,amylose300_m,1e-06
Cancer3,galmannan_m,1e-06
Cancer3,xyluglc_m,1e-06
Cancer3,starch1200_m,1e-06
Cancer3,adocbl_m,1.2033e-06
Cancer3,xyl_D_m,1e-06
Cancer3,mqn7_m,5.3115e-05
Cancer3,pydx_m,1e-06
Cancer3,pydxn_m,1e-06
Cancer3,ncam_m,1e-06
Cancer3,no2_m,1e-06
Cancer3,gly_m,1e-06
Cancer3,phe_L_m,1e-06
Cancer3,thr_L_m,1e-06
Cancer3,ser_L_m,1e-06
Cancer3,ala_D_m,1e-06
Cancer3,ala_L_m,1e-06
Cancer3,asp_L_m,1e-06
Cancer3,cys_L_m,1e-06
Healthy4,glyc3p_m,0.0776858995
Healthy4,cytd_m,0.1000000217
Healthy4,dcyt_m,0.100000404
Healthy4,cgly_m,0.09975360500000001
Healthy4,amp_m,0.1000000127
Healthy4,nmn_m,0.09999998160000001
Healthy4,26dap_M_m,0.099724672
Healthy4,orn_m,0.099718475
Healthy4,csn_m,0.0999999938
Healthy4,acnam_m,1e-06
Healthy4,gam_m,1e-06
Healthy4,acgam_m,1e-06
Healthy4,acmana_m,1e-06
Healthy4,dgsn_m,1e-06
Healthy4,gsn_m,1e-06
Healthy4,metsox_S_L_m,1e-06
Healthy4,adn_m,1e-06
Healthy4,dad_2_m,1e-06
Healthy4,ptrc_m,1.35919e-05
Healthy4,uri_m,0.0393410578
Healthy4,pi_m,0.0084122
Healthy4,asn_L_m,0.022213356
Healthy4,lys_L_m,0.014727382700000001
Healthy4,gln_L_m,0.0177195098
Healthy4,arg_L_m,0.0149997853
Healthy4,his_L_m,0.0149999513
