Agent,rew,env_step
PPO,2.854,0
PPO,261.6371,30720
PPO,337.5775,61440
PPO,362.9134,92160
PPO,425.8273,122880
PPO,553.2555,153600
PPO,715.2234,184320
PPO,905.6901,215040
PPO,1126.158,245760
PPO,1337.0027,276480
PPO,1985.784,307200
PPO,1939.7872,337920
PPO,2077.5675,368640
PPO,2344.1341,399360
PPO,2608.1656,430080
PPO,2552.6508,460800
PPO,2759.0287,491520
PPO,2954.2882,522240
PPO,2740.7866,552960
PPO,2758.2169,583680
PPO,3133.3863,614400
PPO,3025.815,645120
PPO,3230.7174,675840
PPO,3501.1757,706560
PPO,3306.1529,737280
PPO,3202.6631,768000
PPO,3125.1025,798720
PPO,2937.7286,829440
PPO,3507.4568,860160
PPO,3588.5181,890880
PPO,3286.1651,921600
PPO,3515.5619,952320
PPO,3493.7872,983040
PPO,3410.2609,1013760
PPO,3390.317,1044480
PPO,3297.4848,1075200
PPO,3789.9667,1105920
PPO,3485.3889,1136640
PPO,3766.0153,1167360
PPO,3916.4919,1198080
PPO,3641.0305,1228800
PPO,3838.3772,1259520
PPO,4149.6348,1290240
PPO,3820.7451,1320960
PPO,3523.6159,1351680
PPO,3594.5379,1382400
PPO,4009.9213,1413120
PPO,3700.4344,1443840
PPO,3810.8253,1474560
PPO,3932.9272,1505280
PPO,3571.2177,1536000
PPO,3637.1949,1566720
PPO,4002.2786,1597440
PPO,3986.5518,1628160
PPO,4073.0553,1658880
PPO,4123.7576,1689600
PPO,4093.6101,1720320
PPO,4012.082,1751040
PPO,4008.7549,1781760
PPO,4002.3804,1812480
PPO,4109.2768,1843200
PPO,3893.1839,1873920
PPO,3784.3364,1904640
PPO,4191.4698,1935360
PPO,4018.6931,1966080
PPO,4018.0772,1996800
PPO,3936.778,2027520
PPO,4521.6965,2058240
PPO,4279.1014,2088960
PPO,3928.6194,2119680
PPO,4478.9202,2150400
PPO,4536.146,2181120
PPO,3723.36,2211840
PPO,4600.0676,2242560
PPO,4646.8615,2273280
PPO,4895.5572,2304000
PPO,4682.4576,2334720
PPO,3961.3622,2365440
PPO,4342.5382,2396160
PPO,4406.6723,2426880
PPO,4461.0387,2457600
PPO,4450.4049,2488320
PPO,4628.4549,2519040
PPO,4353.2668,2549760
PPO,4431.4896,2580480
PPO,4444.7746,2611200
PPO,4753.0368,2641920
PPO,4475.2381,2672640
PPO,4213.8239,2703360
PPO,4766.5872,2734080
PPO,4714.3712,2764800
PPO,4654.9762,2795520
PPO,4544.4566,2826240
PPO,4454.7327,2856960
PPO,4622.6955,2887680
PPO,4118.5372,2918400
PPO,4404.5734,2949120
PPO,4564.1186,2979840
PPO,4674.4358,3010560
PPO,4624.0476,3041280
PPO,4369.7249,3072000
TD3,6.442,0
TD3,158.7514,5000
TD3,328.0599,10000
TD3,233.9062,15000
TD3,201.0709,20000
TD3,225.3551,25000
TD3,239.5848,30000
TD3,269.1682,35000
TD3,320.811,40000
TD3,343.9271,45000
TD3,302.3467,50000
TD3,312.8566,55000
TD3,352.6576,60000
TD3,326.7521,65000
TD3,330.8671,70000
TD3,372.7445,75000
TD3,375.3707,80000
TD3,400.8054,85000
TD3,388.8271,90000
TD3,372.0491,95000
TD3,483.179,100000
TD3,433.9904,105000
TD3,399.904,110000
TD3,429.8596,115000
TD3,516.3706,120000
TD3,442.9991,125000
TD3,557.6177,130000
TD3,469.2168,135000
TD3,524.6685,140000
TD3,684.2732,145000
TD3,734.8403,150000
TD3,683.5625,155000
TD3,611.7085,160000
TD3,706.4468,165000
TD3,601.0122,170000
TD3,661.1723,175000
TD3,705.3777,180000
TD3,794.0521,185000
TD3,823.9824,190000
TD3,699.2463,195000
TD3,941.3463,200000
TD3,1112.0146,205000
TD3,841.7313,210000
TD3,855.5637,215000
TD3,1082.3426,220000
TD3,996.6779,225000
TD3,1110.0677,230000
TD3,986.4518,235000
TD3,1052.8166,240000
TD3,976.0542,245000
TD3,1073.1536,250000
TD3,1027.4662,255000
TD3,1255.6355,260000
TD3,1134.7905,265000
TD3,1350.4891,270000
TD3,1528.3098,275000
TD3,1561.4072,280000
TD3,1394.1363,285000
TD3,1487.8592,290000
TD3,1613.1424,295000
TD3,1663.4857,300000
TD3,1694.6474,305000
TD3,1761.2344,310000
TD3,1737.3753,315000
TD3,1484.3802,320000
TD3,1595.0691,325000
TD3,2032.7374,330000
TD3,1934.8132,335000
TD3,1780.9275,340000
TD3,1737.634,345000
TD3,1773.278,350000
TD3,1812.198,355000
TD3,1711.6147,360000
TD3,2240.8956,365000
TD3,2087.6909,370000
TD3,2304.4965,375000
TD3,2100.6447,380000
TD3,2058.1073,385000
TD3,2363.7057,390000
TD3,2455.8049,395000
TD3,2348.6439,400000
TD3,2273.554,405000
TD3,2291.7861,410000
TD3,2513.2399,415000
TD3,2208.2059,420000
TD3,2166.119,425000
TD3,2224.1711,430000
TD3,1897.0515,435000
TD3,2551.5153,440000
TD3,2334.9395,445000
TD3,2505.681,450000
TD3,2355.8402,455000
TD3,2293.5938,460000
TD3,2368.7359,465000
TD3,2411.0592,470000
TD3,2751.6453,475000
TD3,2580.7633,480000
TD3,2978.5183,485000
TD3,2824.3097,490000
TD3,2485.2124,495000
TD3,2854.0884,500000
TD3,2143.0347,505000
TD3,3001.1841,510000
TD3,2736.8395,515000
TD3,2945.8561,520000
TD3,2805.6244,525000
TD3,2796.7993,530000
TD3,2951.7061,535000
TD3,2958.4438,540000
TD3,2872.1978,545000
TD3,3019.7389,550000
TD3,3024.8354,555000
TD3,3044.8315,560000
TD3,3151.5658,565000
TD3,2815.677,570000
TD3,2930.3515,575000
TD3,3024.0144,580000
TD3,2818.3069,585000
TD3,3214.1448,590000
TD3,3194.9089,595000
TD3,3249.3552,600000
TD3,3195.2999,605000
TD3,3223.7284,610000
TD3,3494.4464,615000
TD3,3250.9882,620000
TD3,3252.4065,625000
TD3,3348.9026,630000
TD3,3341.5474,635000
TD3,3465.9107,640000
TD3,3447.5678,645000
TD3,3526.4283,650000
TD3,3497.1426,655000
TD3,3560.9044,660000
TD3,3481.2923,665000
TD3,3450.3515,670000
TD3,3620.2938,675000
TD3,3605.5657,680000
TD3,3693.7608,685000
TD3,3646.776,690000
TD3,3634.8418,695000
TD3,3493.2776,700000
TD3,3558.622,705000
TD3,3671.6434,710000
TD3,3455.5073,715000
TD3,3652.0814,720000
TD3,3601.9809,725000
TD3,3667.8053,730000
TD3,3734.6185,735000
TD3,3624.3996,740000
TD3,3550.2741,745000
TD3,3617.8669,750000
TD3,3741.3288,755000
TD3,3730.5887,760000
TD3,3729.6041,765000
TD3,3711.055,770000
TD3,3671.1828,775000
TD3,3588.0924,780000
TD3,3698.8766,785000
TD3,3750.5026,790000
TD3,3787.7582,795000
TD3,3740.6554,800000
TD3,3659.0503,805000
TD3,3848.2124,810000
TD3,3788.2873,815000
TD3,3676.1377,820000
TD3,3655.8464,825000
TD3,3661.1425,830000
TD3,3761.5947,835000
TD3,3547.5446,840000
TD3,3782.9667,845000
TD3,3826.4287,850000
TD3,3852.4662,855000
TD3,3809.3982,860000
TD3,3922.2025,865000
TD3,3897.4311,870000
TD3,3854.7866,875000
TD3,3933.806,880000
TD3,3901.5901,885000
TD3,3801.9979,890000
TD3,3867.7087,895000
TD3,3822.249,900000
TD3,3964.0144,905000
TD3,3872.3271,910000
TD3,3618.269,915000
TD3,3654.5516,920000
TD3,3726.6865,925000
TD3,3660.1793,930000
TD3,3924.3608,935000
TD3,3869.3083,940000
TD3,3956.3273,945000
TD3,3886.109,950000
TD3,3887.0205,955000
TD3,3709.4522,960000
TD3,3929.1202,965000
TD3,3911.8695,970000
TD3,3908.5383,975000
TD3,3859.852,980000
TD3,3982.3984,985000
TD3,3958.8785,990000
TD3,3963.8609,995000
TD3,3842.4794,1000000
TD3,3974.7944,1005000
TD3,4003.5151,1010000
TD3,3983.979,1015000
TD3,3935.9096,1020000
TD3,3965.1715,1025000
TD3,3957.0111,1030000
TD3,3953.037,1035000
TD3,3947.6777,1040000
TD3,3965.4811,1045000
TD3,3981.0784,1050000
TD3,3969.5636,1055000
TD3,3870.8374,1060000
TD3,3962.4485,1065000
TD3,3966.8242,1070000
TD3,3760.9236,1075000
TD3,3904.4641,1080000
TD3,4023.2404,1085000
TD3,3983.7184,1090000
TD3,3818.5878,1095000
TD3,3565.3794,1100000
TD3,3992.6244,1105000
TD3,4021.0643,1110000
TD3,4055.4366,1115000
TD3,4059.6238,1120000
TD3,4077.0175,1125000
TD3,4045.8937,1130000
TD3,3912.0977,1135000
TD3,4025.0121,1140000
TD3,3989.2987,1145000
TD3,3997.7196,1150000
TD3,3773.2647,1155000
TD3,3804.4806,1160000
TD3,3905.1056,1165000
TD3,3871.2903,1170000
TD3,4088.6869,1175000
TD3,4060.7687,1180000
TD3,3922.0452,1185000
TD3,3998.1894,1190000
TD3,4083.5345,1195000
TD3,4076.6858,1200000
TD3,3645.9029,1205000
TD3,4022.6485,1210000
TD3,4099.1548,1215000
TD3,3926.8921,1220000
TD3,4029.5039,1225000
TD3,4072.0896,1230000
TD3,4008.971,1235000
TD3,4100.0992,1240000
TD3,4101.0508,1245000
TD3,3763.9407,1250000
REINFORCE,4.5535,0
REINFORCE,13.6527,30720
REINFORCE,110.1682,61440
REINFORCE,223.5316,92160
REINFORCE,200.5065,122880
REINFORCE,187.5621,153600
REINFORCE,235.2624,184320
REINFORCE,239.778,215040
REINFORCE,247.0896,245760
REINFORCE,258.3275,276480
REINFORCE,266.5922,307200
REINFORCE,295.2816,337920
REINFORCE,292.9666,368640
REINFORCE,299.5063,399360
REINFORCE,271.3942,430080
REINFORCE,296.9937,460800
REINFORCE,284.61,491520
REINFORCE,323.922,522240
REINFORCE,325.3197,552960
REINFORCE,309.106,583680
REINFORCE,340.3094,614400
REINFORCE,322.4308,645120
REINFORCE,359.9286,675840
REINFORCE,355.6872,706560
REINFORCE,354.6147,737280
REINFORCE,342.5682,768000
REINFORCE,385.1629,798720
REINFORCE,391.1747,829440
REINFORCE,346.6364,860160
REINFORCE,353.0954,890880
REINFORCE,346.909,921600
REINFORCE,367.5316,952320
REINFORCE,354.1843,983040
REINFORCE,343.4204,1013760
REINFORCE,354.1547,1044480
REINFORCE,403.1631,1075200
REINFORCE,381.1449,1105920
REINFORCE,372.1611,1136640
REINFORCE,339.0372,1167360
REINFORCE,357.2748,1198080
REINFORCE,355.9174,1228800
REINFORCE,353.4319,1259520
REINFORCE,373.0621,1290240
REINFORCE,341.2523,1320960
REINFORCE,348.859,1351680
REINFORCE,355.2645,1382400
REINFORCE,356.7775,1413120
REINFORCE,329.7672,1443840
REINFORCE,335.196,1474560
REINFORCE,356.1628,1505280
REINFORCE,352.1588,1536000
REINFORCE,361.1192,1566720
REINFORCE,352.0869,1597440
REINFORCE,344.9398,1628160
REINFORCE,371.1304,1658880
REINFORCE,356.5322,1689600
REINFORCE,370.873,1720320
REINFORCE,361.6152,1751040
REINFORCE,366.3599,1781760
REINFORCE,367.3329,1812480
REINFORCE,362.9224,1843200
